stepNumber,algorithm,task,edgeCrossingWeight,nodeOverlappingWeight,edgeCrossingAngleWeight,angularResolutionWeight,edgeLengthWeight,cameraOffset
1,ConeBurst, Task2,0.998691,0.9911854,0.9866943,0.9281622,1.095267,13
2,ConeBurst, Task2,1.004014,0.9906353,0.9767072,0.8705587,1.158085,13
3,ConeBurst, Task2,1.042071,0.9999637,0.984319,0.9133875,1.060259,13
4,ConeBurst, Task2,1.072154,0.999907,0.9910856,0.935254,1.001599,13
5,ConeBurst, Task2,1.020447,0.9935129,1.013269,0.98447,0.988301,13
6,ConeBurst, Task2,1.013674,0.981248,1.009535,0.9318146,1.063728,13
7,ConeBurst, Task2,1.049162,0.9936674,1.010489,0.9413019,1.005379,13
8,ConeBurst, Task2,1.054642,1.006276,1.009142,0.9642683,0.9656717,13
9,ConeBurst, Task2,1.084611,0.9984443,1.002378,0.9290379,0.9855292,13
10,ConeBurst, Task2,1.096036,1.004114,1.005413,0.939881,0.9545556,13
11,ConeBurst, Task2,1.097828,1.006383,0.9958606,0.908228,0.9916995,13
12,ConeBurst, Task2,1.089831,1.01035,0.9940002,0.8795673,1.026252,13
13,ConeBurst, Task2,1.086155,1.010956,0.9851648,0.8587669,1.058958,13
14,ConeBurst, Task2,1.096695,1.00971,0.9851391,0.8729354,1.035519,13
15,ConeBurst, Task2,1.089544,1.002449,0.9831721,0.858734,1.066101,13
16,ConeBurst, Task2,1.080708,1.004766,0.9832243,0.8510157,1.080285,13
17,ConeBurst, Task2,1.083488,0.9994944,0.9810237,0.8401778,1.095816,13
18,ConeBurst, Task2,1.075292,0.9954014,0.9803741,0.833451,1.115481,13

