edge crossing weight,node overlap weight,edge crossing angle weight,angular resolution weight,edge length weight
0.5053137,0.5053137,0.5585046,0.5319092,0.5319092
0.6518301,0.6518301,0.65183,0.6844215,0.6192386
0.6539986,0.6228558,0.6228557,0.6851413,0.5605702
0.7167556,0.6841758,0.651596,0.7167556,0.5538566
0.7400043,0.6756561,0.643482,0.7400043,0.5147856
0.8001844,0.7335024,0.6668204,0.8001844,0.5001153
0.8262287,0.7270814,0.6279339,0.8262287,0.4626881
0.8783,0.7769578,0.6418347,0.8783,0.4729308
0.9020268,0.8018017,0.6681681,0.9020268,0.4343093
0.9529729,0.8508688,0.6466603,0.9529729,0.408417
0.9759743,0.8413572,0.6057773,0.9759743,0.3701972
1.03593,0.8978063,0.6215582,1.03593,0.3453101
1.062738,0.9256105,0.5827919,1.028456,0.3085368
1.131784,0.9903108,0.565892,1.096416,0.3183142
1.15267,1.012953,0.5239412,1.117741,0.2794352
0.7390568,0.6466748,0.3695285,0.7390568,0.1847642
0.7373001,0.6421646,0.3805421,0.761084,0.1664871
0.9697816,0.8759319,0.5005326,0.9697816,0.2502662
0.9757618,0.8813333,0.5350953,0.9442856,0.2832857
0.9750486,0.8806891,0.5347042,0.9121423,0.3145318

