edge crossing weight,node overlap weight,edge crossing angle weight,angular resolution weight,edge length weight
0.6436947,0.6436947,0.6436947,0.6436947,0.6436947
0.5948402,0.5948402,0.5948402,0.5948402,0.5407639
0.7318833,0.7318833,0.7318833,0.6682414,0.6682414
0.4970145,0.4970145,0.5196061,0.4970145,0.4518314
0.7080647,0.7080647,0.7724342,0.7402495,0.67588
0.61871,0.61871,0.6456105,0.5918096,0.5649092
0.6834818,0.6834818,0.7119602,0.5980467,0.5980467
0.6847699,0.6847699,0.6847699,0.6277058,0.6277058
0.7726313,0.7726313,0.8048243,0.7404384,0.7404384
0.6718825,0.6718825,0.6718825,0.5912566,0.5912566
0.7499804,0.7499804,0.7499804,0.6634442,0.6345989
0.6920859,0.6920859,0.7197693,0.636719,0.636719
0.5409404,0.5409404,0.5634795,0.5409404,0.4958621
0.6798874,0.6798874,0.6798874,0.6254964,0.5711055
0.7209489,0.7209489,0.692111,0.692111,0.6344351
0.8349121,0.8349121,0.8028001,0.7385762,0.7064642
0.7418118,0.7418118,0.6847494,0.6562182,0.6562182
0.7965395,0.7965395,0.7352673,0.7352673,0.7352673
0.7553172,0.7553172,0.6681653,0.697216,0.7262666
0.8386874,0.8386874,0.7455,0.7144375,0.7765625

