step,OverallGrade,edgeCrossValue,nodeOverlapValue,edgeCrossAngleValue,angularResValue,edgeLengthValue,passedTime
0,0.6130426,0.5,0.652068,0.7157819,0.5109017,0.6864614,64.16148
1,0.5733254,0.570711,0.7003199,0.7610302,0.5779905,0.2565753,4.234412
2,0.6867544,0.7095129,0.8136189,0.7935927,0.5132497,0.6037978,2.89668
3,0.5124004,0.3729824,0.5886649,0.8131424,0.557165,0.2300474,4.142681
4,0.7025688,0.5059537,0.7237939,0.9065094,0.5755289,0.801058,6.192011
5,0.6102145,0.6505836,0.760593,0.8420666,0.5208973,0.2769317,14.28664
6,0.6508839,0.6801559,0.8582797,0.9390516,0.5186881,0.2582443,6.199638
7,0.6592674,0.5073392,0.7341821,0.7952803,0.537617,0.7219184,3.566449
8,0.7488316,0.5519496,0.7895929,0.9459227,0.5755289,0.8811637,4.964835
9,0.6481645,0.7097278,0.8297384,0.8771527,0.5208974,0.303306,3.182492
10,0.698658,0.7392997,0.8919361,0.9944438,0.5902627,0.2773475,9.182246
11,0.6867371,0.5044127,0.6882091,0.9474549,0.5895523,0.7040562,13.43183
12,0.5653318,0.4054159,0.6398531,0.9192047,0.6102284,0.2519569,4.971672
13,0.6500565,0.7097275,0.8297384,0.8771529,0.543545,0.2901189,7.321397
14,0.6865339,0.5749476,0.7508637,0.793914,0.5891549,0.7237892,16.76932
15,0.7701317,0.8062649,1.025689,0.9164959,0.5413428,0.560866,6.204733
16,0.6970752,0.5496175,0.795364,0.7952803,0.5888187,0.7562957,4.699597
17,0.7467188,0.6500002,0.8476881,0.8589383,0.5875371,0.7894304,6.42727
18,0.716592,0.5979455,0.7808984,0.7621576,0.6147704,0.8271878,10.20415
19,0.7763303,0.8385154,0.9359835,0.920706,0.5893566,0.5970901,6.249681

