option,overallGrade,edgeCrossGrade,nodeOverlapGrade,edgeCrossAngleGrade,angularResolutionGrade,edgeLengthGrade,passedTime
alt1,0.4884819,0.266894,0.4637861,0.7084099,0.5027654,0.5005542,60.40237
alt1,0.4504243,0.3255517,0.4332305,0.6191644,0.4938982,0.3802766,0.5993337
alt1,0.5055426,0.3042808,0.4585698,0.6923374,0.4886491,0.5838761,1.736197
alt1,0.5672854,0.6360402,0.7833734,0.7335775,0.4324867,0.2509492,1.839116
alt1,0.5555685,0.5694385,0.776013,0.7177477,0.4890258,0.2256173,7.484005
alt1,0.5804316,0.47172,0.6062006,0.6161529,0.4839323,0.7241525,1.667151
alt1,0.6124473,0.5338217,0.6732465,0.6961415,0.4772666,0.6817604,9.06936
alt1,0.5599433,0.601393,0.8019162,0.7185424,0.4613979,0.216467,0.5639976
alt1,0.4506126,0.3536801,0.5243744,0.6150087,0.4695635,0.2904364,3.310795
alt1,0.4841871,0.4136478,0.5802434,0.6699179,0.4656931,0.2914335,3.1077
alt1,0.4395511,0.3932716,0.4651763,0.6539319,0.4626172,0.2227585,2.801445
alt1,0.6578108,0.7385437,0.8327219,0.7804371,0.4475358,0.4898155,5.366508
alt1,0.568879,0.6560872,0.7804918,0.7495796,0.4057662,0.25247,2.765169
alt1,0.5728267,0.4522438,0.628756,0.6345218,0.4707144,0.6778973,0.4196226
alt1,0.5602343,0.6063693,0.7901076,0.7335361,0.4549565,0.2162021,3.56205
alt1,0.5530789,0.3593579,0.5880234,0.6989941,0.466817,0.6522022,3.575039
alt1,0.5716447,0.686856,0.7854815,0.7430695,0.3994393,0.2433768,3.587283
alt1,0.5396944,0.6761903,0.7180808,0.6452844,0.3786407,0.2802759,6.522369
alt1,0.542412,0.6116436,0.7672476,0.6558324,0.4120526,0.2652837,3.223941
alt1,0.4748547,0.4698637,0.6283672,0.6036438,0.4175292,0.2548693,5.045003

