userID,stepNumber,algorithm,task,edgeCrossingWeight,nodeOverlappingWeight,edgeCrossingAngleWeight,angularResolutionWeight,edgeLengthWeight,cameraOffset
15,1,ConeBurst, Task2,1.051706,1.021281,0.9694105,1.00606,0.9515433,10
15,2,ConeBurst, Task2,1.10498,1.042484,0.9463465,1.001967,0.9042228,10
15,3,ConeBurst, Task2,1.152609,1.066823,0.9177395,1.010359,0.8524694,10
15,4,ConeBurst, Task2,1.160174,1.080499,0.9056296,0.9556519,0.8980457,10
15,5,ConeBurst, Task2,1.217476,1.105752,0.8874203,0.9361892,0.8531625,10
15,6,ConeBurst, Task2,1.229068,1.113284,0.8774456,0.8816581,0.8985447,10
15,7,ConeBurst, Task2,1.24657,1.126859,0.8588313,0.8258358,0.9419041,10
15,8,ConeBurst, Task2,1.256033,1.125999,0.8439999,0.7785693,0.9953989,10
15,9,ConeBurst, Task2,1.258131,1.133498,0.8230083,0.7332488,1.052113,10
15,10,ConeBurst, Task2,1.276069,1.132336,0.793771,0.688018,1.109806,10
15,11,ConeBurst, Task2,1.277777,1.146196,0.7690737,0.6412577,1.165696,10
15,12,ConeBurst, Task2,1.290325,1.137379,0.7424025,0.5987641,1.23113,10
15,13,ConeBurst, Task2,1.289797,1.125886,0.7176343,0.5597964,1.306885,10
15,14,ConeBurst, Task2,1.296097,1.11279,0.6825545,0.5213493,1.387209,10
15,15,ConeBurst, Task2,1.293968,1.108883,0.6518611,0.4804204,1.464868,10
15,16,ConeBurst, Task2,1.345533,1.121567,0.6426778,0.4737064,1.416516,10

