step,OverallGrade,edgeCrossValue,nodeOverlapValue,edgeCrossAngleValue,angularResValue,edgeLengthValue,passedTime
0,0.4805239,0.5327625,0.4715106,0.6737867,0.5027803,0.2217795,6.608567
1,0.5086292,0.2601341,0.5266829,0.6913407,0.5172908,0.5476976,6.830533
2,0.4798623,0.4580927,0.4482014,0.781867,0.4338506,0.2772997,8.263332
3,0.6514555,0.5327625,0.8216026,0.8130527,0.4484192,0.6414406,4.991156
4,0.5425335,0.5327628,0.5332885,0.7467394,0.5029196,0.3969574,3.865323
5,0.550262,0.3265002,0.5557675,0.7767295,0.4960835,0.5962293,3.943299
6,0.5619478,0.3420478,0.5540127,0.766153,0.5278644,0.6196612,5.963988
7,0.6169137,0.7130429,0.5842991,0.9011739,0.470026,0.4160265,8.51782
8,0.5415372,0.5860386,0.5893885,0.7411653,0.5027802,0.2883134,15.23352
9,0.7035829,0.6465055,0.9209542,0.8462324,0.4974303,0.6067923,21.91482
10,0.6055567,0.5860388,0.6602617,0.8178574,0.4764502,0.4871751,16.70557
11,0.5339731,0.506313,0.5335733,0.8190987,0.4579535,0.3529269,3.632176
12,0.5844533,0.7130427,0.5835725,0.7887008,0.4928279,0.3441229,12.70494
13,0.6184081,0.342048,0.6643516,0.7112044,0.5269068,0.84753,4.22002
14,0.589147,0.3148992,0.5868012,0.7561772,0.5535249,0.7343324,17.44679
15,0.701001,0.5545332,0.9843798,0.72266,0.5231794,0.7202524,9.162948
16,0.5396761,0.530423,0.5762591,0.7074034,0.5061591,0.378136,2.12183
17,0.5956177,0.250348,0.5927002,0.6847691,0.5225368,0.9277344,6.245707
18,0.5883941,0.3675381,0.597602,0.6844534,0.5639766,0.7284003,1.433563
19,0.5602286,0.5860388,0.6836904,0.6737865,0.5027802,0.354847,10.4389

