step,OverallGrade,edgeCrossValue,nodeOverlapValue,edgeCrossAngleValue,angularResValue,edgeLengthValue,passedTime
0,0.5133444,0.3109527,0.4921123,0.6773376,0.501816,0.5845035,4.55402
1,0.610234,0.5061244,0.7469118,0.739139,0.4733312,0.5856635,3.187593
2,0.6431712,0.5583455,0.7402752,0.8366436,0.4854029,0.5951887,5.063725
3,0.5000276,0.5327625,0.5186615,0.7411653,0.4525023,0.2550464,10.0687
4,0.6415821,0.5877324,0.7474362,0.7430178,0.4901398,0.6395842,6.118823
5,0.6792136,0.6171185,0.8375623,0.8212426,0.5047643,0.6153805,14.74927
6,0.6990867,0.646505,0.8107779,0.8764838,0.5123697,0.6492971,5.775385
7,0.7056475,0.5860389,0.9137048,0.7988414,0.5170358,0.7126166,3.253643
8,0.7112163,0.5860386,0.9336399,0.8130527,0.4982435,0.7251067,11.0036
9,0.6705923,0.4304918,0.8039738,0.8156378,0.4851072,0.8177508,18.07501
10,0.5933005,0.3420479,0.6262752,0.8009782,0.5000821,0.6971188,7.193529
11,0.7180903,0.5594006,0.9517754,0.764109,0.5170357,0.7981307,3.431861
12,0.709894,0.5304232,0.9433747,0.745212,0.5578409,0.7726192,14.90986
13,0.5559107,0.5860388,0.6365393,0.7074761,0.5279192,0.3215803,6.942107
14,0.7253682,0.6126768,0.9709857,0.7391388,0.5231555,0.7808843,11.81818
15,0.601773,0.3575957,0.6503626,0.6965027,0.5556467,0.7487574,16.00293
16,0.6430098,0.3850399,0.6365395,0.7574034,0.5200078,0.9160586,7.137295
17,0.6977519,0.4570256,0.9796579,0.6872842,0.536509,0.8282829,3.786962
18,0.7443609,0.5594006,1.102545,0.7110787,0.5346178,0.8141622,10.72187
19,0.7256641,0.5304232,1.057297,0.7226601,0.5231794,0.7947605,23.61251

