edge crossing weight,node overlap weight,edge crossing angle weight,angular resolution weight,edge length weight
0.95,1,1,0.95,1.05
0.95,1.05,1.05,0.9,1.1
1,1.1,1.1,0.9,1.15
1,1.05,1.05,0.95,1.1
1.05,1.1,1.05,0.9,1.15
1.1,1.15,1.1,0.95,1.2
1.1,1.2,1.15,0.95,1.25
1.1,1.25,1.1,1,1.3
1.1,1.3,1.15,0.95,1.3
1.1,1.3,1.15,0.9,1.35
1.05,1.25,1.1,0.95,1.4
1.1,1.3,1.1,1,1.4
1.1,1.35,1.05,1.05,1.45
1.15,1.3,0.9999999,1.05,1.4
1.15,1.35,0.9999999,0.9999999,1.45
1.1,1.35,0.9499999,1.05,1.5
1.05,1.35,0.9999999,1.05,1.549999
1.05,1.4,0.9999999,1.05,1.549999
1.1,1.45,0.9999999,0.9999999,1.599999
1.1,1.5,1.05,1.05,1.599999

