option,overallGrade,edgeCrossGrade,nodeOverlapGrade,edgeCrossAngleGrade,angularResolutionGrade,edgeLengthGrade,passedTime
alt2,0.4753706,0.4063845,0.3048999,0.7090516,0.6839655,0.2725515,1.010512
alt2,0.4714308,0.3304609,0.3085538,0.6987987,0.7569052,0.2624353,1.381764
alt2,0.6451895,0.81412,0.5788151,0.678129,0.4140157,0.7408677,7.246316
alt2,0.4449385,0.3724405,0.3371949,0.6624086,0.6411054,0.211543,0.7253013
alt2,0.6232329,0.7409422,0.5960832,0.6896876,0.4422248,0.6472268,0.6591231
alt2,0.6284737,0.9946017,0.7000744,0.6376199,0.583803,0.2262696,1.60453
alt2,0.6647449,1.004072,0.6544057,0.6536274,0.6465573,0.3650621,5.666345
alt2,0.4561364,0.5065866,0.3435793,0.6089557,0.5648432,0.2567174,0.9102272
alt2,0.6567369,1.061522,0.6999025,0.5976699,0.5166497,0.407941,1.634902
alt2,0.4345748,0.3953228,0.3424575,0.5932648,0.5516568,0.2901724,0.9776253
alt2,0.4281844,0.4586649,0.2838724,0.5782669,0.4973992,0.3227189,0.7750809

