option,overallGrade,edgeCrossGrade,nodeOverlapGrade,edgeCrossAngleGrade,angularResolutionGrade,edgeLengthGrade,passedTime
chosenOption,0.6220445,0.8441916,0.6055369,0.7217151,0.7008197,0.2379593,5.897475
chosenOption,0.658874,0.8848571,0.6912974,0.6863378,0.7186583,0.3132197,6.26781
chosenOption,0.62129,0.9362795,0.5970984,0.6857383,0.6709234,0.2164102,11.3562
chosenOption,0.636787,0.9634936,0.6582415,0.6426132,0.7304291,0.1891576,21.91749
chosenOption,0.6370218,1.024744,0.5639976,0.6566414,0.6977573,0.2419687,13.9677
chosenOption,0.5872009,0.7286556,0.6504935,0.6586649,0.4335659,0.4646247,25.27048
chosenOption,0.6333154,1.061751,0.6102313,0.6431313,0.6564749,0.1949879,27.08935
chosenOption,0.6488594,1.096134,0.6690089,0.599508,0.7088897,0.1707571,19.36074
chosenOption,0.6479206,1.168267,0.5705172,0.6099178,0.6723757,0.2185258,30.77929
chosenOption,0.5714665,0.8921711,0.6260978,0.5714758,0.4582707,0.3093172,23.18491
chosenOption,0.6587464,1.21815,0.6393124,0.5958354,0.6687728,0.1716612,30.5312
chosenOption,0.653064,1.281109,0.6139141,0.574792,0.6327233,0.1627818,38.26125
chosenOption,0.5742573,0.9822981,0.6348897,0.536093,0.4292953,0.28871,29.75675

