Option,OverallGrade,EdgeCrossGrade,NodeOverlapGrade,EdgeCrossAngGrade,AngResGrade,EdgeLengthGrade,PassedTime,,,,,,,,,,,,,,
alt1,0.4974189,0.521912,0.585547,0.6914661,0.4489225,0.2392472,9.540782,,,,,,,,,,,,,,
alt1,0.5411572,0.4445347,0.487814,0.7371327,0.4987272,0.5375772,3.333171,,,,,,,,,,,,,,
alt1,0.5709723,0.7515917,0.7298348,0.6852305,0.4715958,0.2166086,10.52335,,,,,,,,,,,,,,
alt1,0.5205168,0.5219396,0.6352003,0.7089663,0.4771768,0.2593011,11.30109,,,,,,,,,,,,,,
alt1,0.5558043,0.4824457,0.5460363,0.6903653,0.4846167,0.5755574,5.676549,,,,,,,,,,,,,,
alt1,0.5149036,0.5219564,0.5484558,0.7291952,0.4903486,0.284562,9.777361,,,,,,,,,,,,,,
alt1,0.5238579,0.4445676,0.5199344,0.6466486,0.4962642,0.5118744,6.805221,,,,,,,,,,,,,,
alt1,0.5176712,0.5219693,0.5830581,0.7035964,0.4694564,0.3102756,11.73853,,,,,,,,,,,,,,
alt1,0.5174049,0.3391382,0.4634488,0.6987059,0.5365528,0.549179,6.748053,,,,,,,,,,,,,,
alt1,0.5127026,0.5632867,0.5680605,0.684848,0.4563275,0.2909906,11.14303,,,,,,,,,,,,,,
alt1,0.5325902,0.4824792,0.3941231,0.7302176,0.4889781,0.5671529,12.08432,,,,,,,,,,,,,,
alt1,0.5721326,0.7004343,0.7360272,0.7342132,0.4508924,0.2390961,7.127824,,,,,,,,,,,,,,
alt1,0.5599701,0.5219904,0.4923642,0.6509406,0.5047376,0.629818,6.751698,,,,,,,,,,,,,,
alt1,0.5281301,0.4824859,0.6165887,0.7462571,0.4871061,0.3082124,8.463818,,,,,,,,,,,,,,
alt1,0.5139406,0.5633022,0.5730427,0.6462292,0.5171232,0.2700054,5.653314,,,,,,,,,,,,,,
alt1,0.4801997,0.5220011,0.5176231,0.7271827,0.4168148,0.2173765,6.195349,,,,,,,,,,,,,,
alt1,0.5345517,0.4446017,0.5680743,0.6630655,0.4339831,0.5630338,9.499234,,,,,,,,,,,,,,
alt1,0.5018444,0.5633124,0.5106617,0.7346293,0.4718376,0.2287811,12.51645,,,,,,,,,,,,,,
alt1,0.4960091,0.4081689,0.5906924,0.7240794,0.4886715,0.2684337,10.52708,,,,,,,,,,,,,,
alt1,0.6056257,0.8064662,0.7238081,0.7638188,0.4480569,0.2859784,4.10892,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,OverallGrade,0.4974189,0.5411572,0.5709723,0.5205168,0.5558043,0.5149036,0.5238579,0.5176712,0.5174049,0.5127026,0.5325902,0.5721326,0.5599701,0.5281301,0.5139406,0.4801997,0.5345517,0.5018444,0.4960091,0.6056257
,EdgeCrossGrade,0.521912,0.4445347,0.7515917,0.5219396,0.4824457,0.5219564,0.4445676,0.5219693,0.3391382,0.5632867,0.4824792,0.7004343,0.5219904,0.4824859,0.5633022,0.5220011,0.4446017,0.5633124,0.4081689,0.8064662
,NodeOverlapGrade,0.585547,0.487814,0.7298348,0.6352003,0.5460363,0.5484558,0.5199344,0.5830581,0.4634488,0.5680605,0.3941231,0.7360272,0.4923642,0.6165887,0.5730427,0.5176231,0.5680743,0.5106617,0.5906924,0.7238081
,EdgeCrossAngGrade,0.6914661,0.7371327,0.6852305,0.7089663,0.6903653,0.7291952,0.6466486,0.7035964,0.6987059,0.684848,0.7302176,0.7342132,0.6509406,0.7462571,0.6462292,0.7271827,0.6630655,0.7346293,0.7240794,0.7638188
,AngResGrade,0.4489225,0.4987272,0.4715958,0.4771768,0.4846167,0.4903486,0.4962642,0.4694564,0.5365528,0.4563275,0.4889781,0.4508924,0.5047376,0.4871061,0.5171232,0.4168148,0.4339831,0.4718376,0.4886715,0.4480569
,EdgeLengthGrade,0.2392472,0.5375772,0.2166086,0.2593011,0.5755574,0.284562,0.5118744,0.3102756,0.549179,0.2909906,0.5671529,0.2390961,0.629818,0.3082124,0.2700054,0.2173765,0.5630338,0.2287811,0.2684337,0.2859784
,PassedTime,9.540782,3.333171,10.52335,11.30109,5.676549,9.777361,6.805221,11.73853,6.748053,11.14303,12.08432,7.127824,6.751698,8.463818,5.653314,6.195349,9.499234,12.51645,10.52708,4.10892
