Option,OverallGrade,EdgeCrossGrade,NodeOverlapGrade,EdgeCrossAngGrade,AngResGrade,EdgeLengthGrade,PassedTime,,,,,,,,,,,,,,
alt1,0.5641618,0.4008541,0.5066875,0.7358233,0.6673425,0.5101018,6.2428,,,,,,,,,,,,,,
alt1,0.5670885,0.4376052,0.5392471,0.702382,0.5527188,0.6034895,5.878726,,,,,,,,,,,,,,
alt1,0.6723235,0.6838885,0.7179504,0.6545665,0.5530471,0.7521645,5.02041,,,,,,,,,,,,,,
alt1,0.6525348,0.6379734,0.6886848,0.6952496,0.5005673,0.7401991,8.453285,,,,,,,,,,,,,,
alt1,0.6290101,0.8366252,0.5931532,0.6909481,0.7081922,0.316132,5.626046,,,,,,,,,,,,,,
alt1,0.6501722,0.6657508,0.6571887,0.6763804,0.4873259,0.7642155,15.66455,,,,,,,,,,,,,,
alt1,0.5377936,0.3880472,0.557714,0.6948319,0.592617,0.4557581,6.134036,,,,,,,,,,,,,,
alt1,0.6598228,0.9275308,0.7129641,0.6807835,0.6470749,0.3307607,0,,,,,,,,,,,,,,
alt1,0.6375617,0.8516033,0.6099873,0.7285261,0.6992226,0.2984695,0,,,,,,,,,,,,,,
alt1,0.6576408,0.8206023,0.6971753,0.7241849,0.6044243,0.4418174,0,,,,,,,,,,,,,,
alt1,0.7117941,0.7188568,0.7805787,0.7623451,0.5594789,0.7377114,11.35029,,,,,,,,,,,,,,
alt1,0.5439661,0.3234565,0.4146008,0.6964143,0.8338956,0.4514635,5.49475,,,,,,,,,,,,,,
alt1,0.5196282,0.4098919,0.5839395,0.6967255,0.6173842,0.2902,35.71816,,,,,,,,,,,,,,
alt1,0.6838179,0.6107586,0.7205474,0.711536,0.6202281,0.7560192,7.68641,,,,,,,,,,,,,,
alt1,0.5941157,0.466613,0.5031962,0.7351772,0.7102583,0.5553337,4.553593,,,,,,,,,,,,,,
alt1,0.5834385,0.4361788,0.5725518,0.7302587,0.6083519,0.5698512,5.219513,,,,,,,,,,,,,,
alt1,0.5754313,0.3627115,0.4386193,0.7561476,0.78625,0.5334281,4.133194,,,,,,,,,,,,,,
alt1,0.654606,0.5938085,0.6478127,0.7133759,0.5269426,0.7910903,7.783166,,,,,,,,,,,,,,
alt1,0.4897398,0.3737824,0.3410949,0.7585381,0.524606,0.4506775,3.631901,,,,,,,,,,,,,,
alt1,0.6397267,0.6586254,0.687535,0.7528808,0.4311603,0.6684321,6.764986,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,OverallGrade,0.5641618,0.5670885,0.6723235,0.6525348,0.6290101,0.6501722,0.5377936,0.6598228,0.6375617,0.6576408,0.7117941,0.5439661,0.5196282,0.6838179,0.5941157,0.5834385,0.5754313,0.654606,0.4897398,0.6397267
,EdgeCrossGrade,0.4008541,0.4376052,0.6838885,0.6379734,0.8366252,0.6657508,0.3880472,0.9275308,0.8516033,0.8206023,0.7188568,0.3234565,0.4098919,0.6107586,0.466613,0.4361788,0.3627115,0.5938085,0.3737824,0.6586254
,NodeOverlapGrade,0.5066875,0.5392471,0.7179504,0.6886848,0.5931532,0.6571887,0.557714,0.7129641,0.6099873,0.6971753,0.7805787,0.4146008,0.5839395,0.7205474,0.5031962,0.5725518,0.4386193,0.6478127,0.3410949,0.687535
,EdgeCrossAngGrade,0.7358233,0.702382,0.6545665,0.6952496,0.6909481,0.6763804,0.6948319,0.6807835,0.7285261,0.7241849,0.7623451,0.6964143,0.6967255,0.711536,0.7351772,0.7302587,0.7561476,0.7133759,0.7585381,0.7528808
,AngResGrade,0.6673425,0.5527188,0.5530471,0.5005673,0.7081922,0.4873259,0.592617,0.6470749,0.6992226,0.6044243,0.5594789,0.8338956,0.6173842,0.6202281,0.7102583,0.6083519,0.78625,0.5269426,0.524606,0.4311603
,EdgeLengthGrade,0.5101018,0.6034895,0.7521645,0.7401991,0.316132,0.7642155,0.4557581,0.3307607,0.2984695,0.4418174,0.7377114,0.4514635,0.2902,0.7560192,0.5553337,0.5698512,0.5334281,0.7910903,0.4506775,0.6684321
,PassedTime,6.2428,5.878726,5.02041,8.453285,5.626046,15.66455,6.134036,0,0,0,11.35029,5.49475,35.71816,7.68641,4.553593,5.219513,4.133194,7.783166,3.631901,6.764986
