Option,OverallGrade,EdgeCrossGrade,NodeOverlapGrade,EdgeCrossAngGrade,AngResGrade,EdgeLengthGrade,PassedTime,,,,,,,,,,,,,,
alt1,0.6067615,0.7285232,0.5608052,0.7491113,0.5971236,0.3982444,12.7667,,,,,,,,,,,,,,
alt1,0.5993351,0.6993466,0.5653787,0.7352564,0.5423002,0.4543936,7.543767,,,,,,,,,,,,,,
alt1,0.4633737,0.4587318,0.3316813,0.7234406,0.6700989,0.1329161,6.207982,,,,,,,,,,,,,,
alt1,0.5947224,0.6622871,0.6010273,0.7180734,0.5638249,0.428399,12.04621,,,,,,,,,,,,,,
alt1,0.4479521,0.3618592,0.3466759,0.7586774,0.6015483,0.1709996,5.19765,,,,,,,,,,,,,,
alt1,0.5916671,0.7490646,0.5518924,0.6722165,0.5629541,0.4222078,6.241869,,,,,,,,,,,,,,
alt1,0.5926646,0.6900939,0.5677335,0.7112707,0.5349653,0.4592596,7.418199,,,,,,,,,,,,,,
alt1,0.586347,0.759513,0.5563571,0.7314605,0.5499516,0.3344527,7.134262,,,,,,,,,,,,,,
alt1,0.6166238,0.7190123,0.6450797,0.7418864,0.544425,0.4327151,4.225093,,,,,,,,,,,,,,
alt1,0.5944586,0.6808684,0.5301166,0.7237145,0.5884174,0.4491762,9.62075,,,,,,,,,,,,,,
alt1,0.5796057,0.6535849,0.6010646,0.6781425,0.5731224,0.3921144,7.594561,,,,,,,,,,,,,,
alt1,0.6950637,0.8257293,0.7032356,0.7585102,0.4249316,0.7629118,8.308266,,,,,,,,,,,,,,
alt1,0.4760143,0.4253555,0.4351584,0.7012599,0.5794533,0.2388447,5.242141,,,,,,,,,,,,,,
alt1,0.5857037,0.6903017,0.6369821,0.6648471,0.5481779,0.3882095,8.408603,,,,,,,,,,,,,,
alt1,0.5070774,0.438664,0.4369209,0.7239273,0.6925526,0.2433221,14.59301,,,,,,,,,,,,,,
alt1,0.4875848,0.4659177,0.473757,0.7010102,0.6411177,0.1561216,8.186014,,,,,,,,,,,,,,
alt1,0.5771486,0.6810012,0.5985891,0.7257029,0.5694278,0.3110218,9.155798,,,,,,,,,,,,,,
alt1,0.598159,0.7810277,0.5586042,0.7228122,0.4992839,0.4290669,6.813431,,,,,,,,,,,,,,
alt1,0.4576365,0.501391,0.3113152,0.6631233,0.6334814,0.1788717,5.765507,,,,,,,,,,,,,,
alt1,0.4417331,0.3145763,0.3826906,0.7196631,0.6526163,0.1391192,2.577571,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,OverallGrade,0.6067615,0.5993351,0.4633737,0.5947224,0.4479521,0.5916671,0.5926646,0.586347,0.6166238,0.5944586,0.5796057,0.6950637,0.4760143,0.5857037,0.5070774,0.4875848,0.5771486,0.598159,0.4576365,0.4417331
,EdgeCrossGrade,0.7285232,0.6993466,0.4587318,0.6622871,0.3618592,0.7490646,0.6900939,0.759513,0.7190123,0.6808684,0.6535849,0.8257293,0.4253555,0.6903017,0.438664,0.4659177,0.6810012,0.7810277,0.501391,0.3145763
,NodeOverlapGrade,0.5608052,0.5653787,0.3316813,0.6010273,0.3466759,0.5518924,0.5677335,0.5563571,0.6450797,0.5301166,0.6010646,0.7032356,0.4351584,0.6369821,0.4369209,0.473757,0.5985891,0.5586042,0.3113152,0.3826906
,EdgeCrossAngGrade,0.7491113,0.7352564,0.7234406,0.7180734,0.7586774,0.6722165,0.7112707,0.7314605,0.7418864,0.7237145,0.6781425,0.7585102,0.7012599,0.6648471,0.7239273,0.7010102,0.7257029,0.7228122,0.6631233,0.7196631
,AngResGrade,0.5971236,0.5423002,0.6700989,0.5638249,0.6015483,0.5629541,0.5349653,0.5499516,0.544425,0.5884174,0.5731224,0.4249316,0.5794533,0.5481779,0.6925526,0.6411177,0.5694278,0.4992839,0.6334814,0.6526163
,EdgeLengthGrade,0.3982444,0.4543936,0.1329161,0.428399,0.1709996,0.4222078,0.4592596,0.3344527,0.4327151,0.4491762,0.3921144,0.7629118,0.2388447,0.3882095,0.2433221,0.1561216,0.3110218,0.4290669,0.1788717,0.1391192
,PassedTime,12.7667,7.543767,6.207982,12.04621,5.19765,6.241869,7.418199,7.134262,4.225093,9.62075,7.594561,8.308266,5.242141,8.408603,14.59301,8.186014,9.155798,6.813431,5.765507,2.577571
