Option,OverallGrade,EdgeCrossGrade,NodeOverlapGrade,EdgeCrossAngGrade,AngResGrade,EdgeLengthGrade,TimePassed,,,,,,,,,,,,,,
alt1,0.605614,0.6396978,0.6742767,0.7472463,0.5121511,0.4546981,8.87906,,,,,,,,,,,,,,
alt1,0.6202848,0.637944,0.6046237,0.8110403,0.5181126,0.5297032,9.995646,,,,,,,,,,,,,,
alt1,0.4709569,0.396088,0.3956591,0.7572008,0.5453554,0.260481,20.32249,,,,,,,,,,,,,,
alt1,0.6066697,0.5896548,0.608269,0.8024279,0.5393727,0.4936239,9.061784,,,,,,,,,,,,,,
alt1,0.6082422,0.6372685,0.5857008,0.7425364,0.4988996,0.5768058,6.618134,,,,,,,,,,,,,,
alt1,0.6111747,0.5441756,0.4949532,0.754781,0.5175026,0.7444611,16.00612,,,,,,,,,,,,,,
alt1,0.5971759,0.5875179,0.4222873,0.7649202,0.5029172,0.7082367,9.719107,,,,,,,,,,,,,,
alt1,0.5952497,0.5879258,0.6382404,0.828673,0.5192438,0.4021653,10.31193,,,,,,,,,,,,,,
alt1,0.6289567,0.6885313,0.660185,0.7121723,0.51361,0.5702846,26.76618,,,,,,,,,,,,,,
alt1,0.6297721,0.6878605,0.6054179,0.7331727,0.5579672,0.564442,24.60885,,,,,,,,,,,,,,
alt1,0.4567828,0.3023337,0.4731802,0.7042552,0.5564748,0.2476701,7.562778,,,,,,,,,,,,,,
alt1,0.4754773,0.3323646,0.4646713,0.7088889,0.5382311,0.3332305,3.603686,,,,,,,,,,,,,,
alt1,0.6103379,0.6360175,0.6628637,0.6790854,0.517112,0.5566106,12.18204,,,,,,,,,,,,,,
alt1,0.4374267,0.3030228,0.436244,0.6793834,0.5465427,0.2219408,10.56098,,,,,,,,,,,,,,
alt1,0.5832404,0.5880764,0.6233308,0.7254805,0.5416272,0.4376871,7.374505,,,,,,,,,,,,,,
alt1,0.4853946,0.3954832,0.3787319,0.7972026,0.5633447,0.2922105,8.522445,,,,,,,,,,,,,,
alt1,0.5607294,0.4297714,0.4420735,0.7403104,0.5096026,0.6818892,11.42906,,,,,,,,,,,,,,
alt1,0.5935575,0.5890425,0.4972817,0.7097584,0.4905561,0.6811488,12.4922,,,,,,,,,,,,,,
alt1,0.4273436,0.3038038,0.3525469,0.6868991,0.5374496,0.2560185,9.398911,,,,,,,,,,,,,,
alt1,0.6271286,0.5456116,0.4580673,0.7205374,0.5620329,0.8493938,10.0718,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,OverallGrade,0.605614,0.6202848,0.4709569,0.6066697,0.6082422,0.6111747,0.5971759,0.5952497,0.6289567,0.6297721,0.4567828,0.4754773,0.6103379,0.4374267,0.5832404,0.4853946,0.5607294,0.5935575,0.4273436,0.6271286
,EdgeCrossGrade,0.6396978,0.637944,0.396088,0.5896548,0.6372685,0.5441756,0.5875179,0.5879258,0.6885313,0.6878605,0.3023337,0.3323646,0.6360175,0.3030228,0.5880764,0.3954832,0.4297714,0.5890425,0.3038038,0.5456116
,NodeOverlapGrade,0.6742767,0.6046237,0.3956591,0.608269,0.5857008,0.4949532,0.4222873,0.6382404,0.660185,0.6054179,0.4731802,0.4646713,0.6628637,0.436244,0.6233308,0.3787319,0.4420735,0.4972817,0.3525469,0.4580673
,EdgeCrossAngGrade,0.7472463,0.8110403,0.7572008,0.8024279,0.7425364,0.754781,0.7649202,0.828673,0.7121723,0.7331727,0.7042552,0.7088889,0.6790854,0.6793834,0.7254805,0.7972026,0.7403104,0.7097584,0.6868991,0.7205374
,AngResGrade,0.5121511,0.5181126,0.5453554,0.5393727,0.4988996,0.5175026,0.5029172,0.5192438,0.51361,0.5579672,0.5564748,0.5382311,0.517112,0.5465427,0.5416272,0.5633447,0.5096026,0.4905561,0.5374496,0.5620329
,EdgeLengthGrade,0.4546981,0.5297032,0.260481,0.4936239,0.5768058,0.7444611,0.7082367,0.4021653,0.5702846,0.564442,0.2476701,0.3332305,0.5566106,0.2219408,0.4376871,0.2922105,0.6818892,0.6811488,0.2560185,0.8493938
,TimePassed,8.87906,9.995646,20.32249,9.061784,6.618134,16.00612,9.719107,10.31193,26.76618,24.60885,7.562778,3.603686,12.18204,10.56098,7.374505,8.522445,11.42906,12.4922,9.398911,10.0718
