Option,OverallGrade,EdgeCrossGrade,NodeOverlapGrade,EdgeCrossAngGrade,AngResGrade,EdgeLengthGrade,PassedTime,,,,,,,,,,,,,,
chosenOption,0.5683191,0.7515514,0.699858,0.7232697,0.4191162,0.2478,7.084542,,,,,,,,,,,,,,
chosenOption,0.5806107,0.8063357,0.6795919,0.7277716,0.4709598,0.2183944,7.215753,,,,,,,,,,,,,,
chosenOption,0.4999375,0.52194,0.6139144,0.6794283,0.471794,0.2126108,9.150777,,,,,,,,,,,,,,
chosenOption,0.575929,0.7515912,0.6940311,0.6883836,0.5188687,0.2267707,8.126616,,,,,,,,,,,,,,
chosenOption,0.5653735,0.7003785,0.6940365,0.7096148,0.4643011,0.2585368,2.85476,,,,,,,,,,,,,,
chosenOption,0.561984,0.7516155,0.7207348,0.6795616,0.4267787,0.2312295,5.075379,,,,,,,,,,,,,,
chosenOption,0.5604905,0.7003981,0.6796247,0.6956362,0.4803698,0.2464238,9.627394,,,,,,,,,,,,,,
chosenOption,0.5579035,0.7516339,0.6379241,0.6886721,0.4914885,0.2197986,6.925128,,,,,,,,,,,,,,
chosenOption,0.5720962,0.7516446,0.7360131,0.7166687,0.4184623,0.2376926,9.800729,,,,,,,,,,,,,,
chosenOption,0.5685186,0.7004232,0.6739444,0.7438331,0.4761407,0.2482517,12.20464,,,,,,,,,,,,,,
chosenOption,0.574753,0.806429,0.6825052,0.7032406,0.4169312,0.2646591,22.1885,,,,,,,,,,,,,,
chosenOption,0.4915763,0.4445906,0.5606668,0.7389116,0.4485074,0.2652049,12.07869,,,,,,,,,,,,,,
chosenOption,0.5925655,0.7516644,0.7298849,0.7591996,0.4378335,0.2842451,4.648635,,,,,,,,,,,,,,
chosenOption,0.5863392,0.8064402,0.6683033,0.7198265,0.4414737,0.295652,2.076342,,,,,,,,,,,,,,
chosenOption,0.5865589,0.8064465,0.6683055,0.7078758,0.4509263,0.2992401,19.05604,,,,,,,,,,,,,,
chosenOption,0.5863879,0.8064523,0.6825175,0.7708387,0.4661186,0.2060125,5.408336,,,,,,,,,,,,,,
chosenOption,0.5746043,0.7516847,0.7028745,0.6528477,0.4708723,0.2947424,12.58259,,,,,,,,,,,,,,
chosenOption,0.5711388,0.751688,0.6626993,0.7873409,0.4363254,0.2176401,18.4027,,,,,,,,,,,,,,
chosenOption,0.5704179,0.7004572,0.6768051,0.7093027,0.5304969,0.2350278,6.61914,,,,,,,,,,,,,,
chosenOption,0.4910638,0.5633159,0.5270019,0.658356,0.4359117,0.2707336,5.377141,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,OverallGrade,0.5683191,0.5806107,0.4999375,0.575929,0.5653735,0.561984,0.5604905,0.5579035,0.5720962,0.5685186,0.574753,0.4915763,0.5925655,0.5863392,0.5865589,0.5863879,0.5746043,0.5711388,0.5704179,0.4910638
,EdgeCrossGrade,0.7515514,0.8063357,0.52194,0.7515912,0.7003785,0.7516155,0.7003981,0.7516339,0.7516446,0.7004232,0.806429,0.4445906,0.7516644,0.8064402,0.8064465,0.8064523,0.7516847,0.751688,0.7004572,0.5633159
,NodeOverlapGrade,0.699858,0.6795919,0.6139144,0.6940311,0.6940365,0.7207348,0.6796247,0.6379241,0.7360131,0.6739444,0.6825052,0.5606668,0.7298849,0.6683033,0.6683055,0.6825175,0.7028745,0.6626993,0.6768051,0.5270019
,EdgeCrossAngGrade,0.7232697,0.7277716,0.6794283,0.6883836,0.7096148,0.6795616,0.6956362,0.6886721,0.7166687,0.7438331,0.7032406,0.7389116,0.7591996,0.7198265,0.7078758,0.7708387,0.6528477,0.7873409,0.7093027,0.658356
,AngResGrade,0.4191162,0.4709598,0.471794,0.5188687,0.4643011,0.4267787,0.4803698,0.4914885,0.4184623,0.4761407,0.4169312,0.4485074,0.4378335,0.4414737,0.4509263,0.4661186,0.4708723,0.4363254,0.5304969,0.4359117
,EdgeLengthGrade,0.2478,0.2183944,0.2126108,0.2267707,0.2585368,0.2312295,0.2464238,0.2197986,0.2376926,0.2482517,0.2646591,0.2652049,0.2842451,0.295652,0.2992401,0.2060125,0.2947424,0.2176401,0.2350278,0.2707336
,PassedTime,7.084542,7.215753,9.150777,8.126616,2.85476,5.075379,9.627394,6.925128,9.800729,12.20464,22.1885,12.07869,4.648635,2.076342,19.05604,5.408336,12.58259,18.4027,6.61914,5.377141
