option,overallGrade,edgeCrossGrade,nodeOverlapGrade,edgeCrossAngleGrade,angularResolutionGrade,edgeLengthGrade,passedTime
chosenOption,0.6217688,0.5678637,0.5735791,0.7407343,0.4633444,0.7633222,12.43215
chosenOption,0.6194717,0.6050928,0.5846912,0.745267,0.3620625,0.8002455,21.84328
chosenOption,0.6074434,0.6673889,0.6248477,0.7611343,0.6206204,0.3632257,25.4668
chosenOption,0.6002494,0.7349078,0.5735583,0.7496832,0.613072,0.3300256,24.28005
chosenOption,0.4779515,0.3475944,0.4444227,0.6974353,0.6115082,0.288797,29.27822
chosenOption,0.6300895,0.5987572,0.5571691,0.7634997,0.3965813,0.8344406,31.76042
chosenOption,0.6283805,0.7786382,0.6120678,0.7682594,0.6321533,0.3507836,34.15329
chosenOption,0.5874775,0.6559882,0.5635715,0.743542,0.6912471,0.2830387,35.17471
chosenOption,0.635394,0.8328578,0.5869796,0.7660366,0.3843949,0.606701,39.37557
chosenOption,0.5831091,0.6781527,0.5567836,0.7539151,0.6293095,0.2973846,46.39557
chosenOption,0.646266,0.6852961,0.6548725,0.722546,0.4079355,0.7606801,42.56121
chosenOption,0.652045,0.6651586,0.6527065,0.7524741,0.375638,0.8142476,47.34668
chosenOption,0.6582046,0.7027868,0.6626201,0.7322293,0.3780281,0.8153589,53.50681
chosenOption,0.6230855,0.7219899,0.6236071,0.7457044,0.6547215,0.3694047,52.89096
chosenOption,0.6332102,0.6227735,0.5473491,0.7312378,0.356659,0.9080313,59.42965
chosenOption,0.6276889,0.6187127,0.6537861,0.7554256,0.376213,0.7343071,64.98099

