option,overallGrade,edgeCrossGrade,nodeOverlapGrade,edgeCrossAngleGrade,angularResolutionGrade,edgeLengthGrade,passedTime
alt1,0.5300628,0.5613904,0.439014,0.7172668,0.6192791,0.3133636,19.16987
alt1,0.5448922,0.5846869,0.4866563,0.7112212,0.5448393,0.3970571,3.145651
alt1,0.4282216,0.3701054,0.3133208,0.6068473,0.5712041,0.2796308,4.125331
alt1,0.4219583,0.3577647,0.3329377,0.644834,0.5374227,0.2368321,2.165095
alt1,0.3904808,0.3590967,0.2794499,0.5671716,0.4854143,0.2612713,5.171795
alt1,0.4089233,0.4017812,0.339118,0.5353714,0.4646686,0.3036774,4.911039
alt1,0.3779616,0.3907297,0.2772436,0.5191053,0.4237705,0.2789589,2.301737
alt1,0.61676,0.9350167,0.5389792,0.5878155,0.350513,0.6714756,3.063847
alt1,0.5017717,0.7010105,0.5150065,0.556361,0.4026076,0.3338732,4.009317
alt1,0.401794,0.4404405,0.3469794,0.5608848,0.4267575,0.2339081,3.753738
alt1,0.3993756,0.4930185,0.3239088,0.4896843,0.3951992,0.2950673,3.4958
alt1,0.6397892,1.08732,0.6156938,0.5089186,0.2879145,0.6990992,7.718418
alt1,0.5098463,0.8657088,0.4794089,0.5148731,0.3497918,0.3394493,1.855188
alt1,0.3898426,0.5540568,0.3284953,0.441612,0.3380562,0.2869929,4.58794
alt1,0.3567042,0.5209892,0.2901999,0.4152729,0.3060983,0.2509609,1.168367
alt1,0.5035489,1.000576,0.4823489,0.4428249,0.2579408,0.3340544,3.276399
alt1,0.3467365,0.5752962,0.2816029,0.3681538,0.2558686,0.2527609,3.465677
alt1,0.4900194,1.04697,0.4917133,0.3590389,0.2120561,0.3403182,1.244009
alt1,0.5017367,1.166485,0.4368072,0.3546299,0.2060519,0.344709,10.20467
alt1,0.3602327,0.7202285,0.3178394,0.2909031,0.1916109,0.2805815,1.233159

