step,OverallGrade,edgeCrossValue,nodeOverlapValue,edgeCrossAngleValue,angularResValue,edgeLengthValue,passedTime
0,0.6051664,0.7422182,0.5417409,0.7085662,0.4922444,0.5410624,53.32198
1,0.6395761,0.7578166,0.6073446,0.7091907,0.4815396,0.6419892,4.467019
2,0.6284926,0.7939032,0.5722374,0.6848401,0.4521709,0.6393114,3.335804
3,0.638064,0.8535507,0.6230022,0.6731378,0.4184077,0.6222218,5.109349
4,0.6832736,0.9160816,0.7358496,0.654938,0.4022818,0.7072166,6.541168
5,0.6608852,0.9277727,0.6096045,0.6522789,0.3739789,0.7407908,10.22637
6,0.5645594,0.7298073,0.5707182,0.6814035,0.4334953,0.4073727,8.908554
7,0.5695558,0.7298076,0.5895424,0.7312829,0.4022084,0.3949378,5.188124
8,0.6840469,0.9382495,0.7645075,0.7298472,0.3236251,0.6640052,24.80126
9,0.7380412,0.9743355,0.7808715,0.7801099,0.3294744,0.8254149,7.585654
10,0.770906,1.068761,0.8584916,0.8004798,0.3017113,0.8250865,5.252828
11,0.6382884,0.8140162,0.695826,0.8042616,0.3180082,0.5593298,4.574628
12,0.7463735,1.076217,0.7855242,0.8148511,0.2707344,0.7845407,4.607456
13,0.7484091,1.113327,0.8259569,0.6931408,0.2674756,0.8421452,13.66904
14,0.7565827,1.11868,0.9115275,0.7298472,0.2311607,0.7916979,11.84794
15,0.7872156,1.154768,0.8323448,0.7929728,0.2260853,0.929907,5.26362
16,0.7975209,1.224659,0.8938724,0.7794228,0.1968977,0.8927526,5.841817
17,0.8112323,1.22694,0.9997392,0.7993565,0.1618125,0.8683133,5.69514
18,0.8323277,1.298881,0.9636161,0.7561536,0.1604853,0.9825023,8.333732
19,0.8304295,1.299114,1.058548,0.7318733,0.1164989,0.9461132,3.132417

