edge crossing weight,node overlap weight,edge crossing angle weight,angular resolution weight,edge length weight
0.7227939,0.7227939,0.7227939,0.6539564,0.7227939
0.7605579,0.7605579,0.7605579,0.6222747,0.7605579
0.806204,0.806204,0.7711517,0.59589,0.806204
0.8490975,0.8490975,0.7429605,0.5660651,0.8490975
0.8739949,0.8739949,0.7341558,0.524397,0.8739949
0.7488154,0.7488154,0.5990524,0.4792419,0.7488154
0.910302,0.910302,0.735244,0.5251743,0.910302
0.9667966,0.9667966,0.7161458,0.501302,0.9667966
0.9904792,0.9904792,0.672111,0.4598654,0.9904792
1.035403,1.035403,0.7140709,0.4284425,1.035403
0.8825541,0.8825541,0.5782252,0.3651948,0.8825541
1.067691,1.067691,0.7117944,0.3914869,1.067691
0.8943449,0.8943449,0.5962301,0.3279265,0.8943449
1.120162,1.120162,0.722685,0.3613425,1.120162
1.175192,1.175192,0.7344955,0.3305229,1.175192
0.9429435,0.9429435,0.5893398,0.2357359,0.9429435
1.192841,1.192841,0.7590808,0.2530268,1.192841
1.238728,1.238728,0.8015301,0.218599,1.238728
1.293477,1.293477,0.813043,0.1847824,1.293477
1.308564,1.308564,0.8360273,0.181745,1.308564

