step,OverallGrade,edgeCrossValue,nodeOverlapValue,edgeCrossAngleValue,angularResValue,edgeLengthValue,passedTime
0,0.6883752,0.8129455,0.6287908,0.7456205,0.5114157,0.7431033,22.20836
1,0.7125657,0.853593,0.6602305,0.7829015,0.4858449,0.7802584,4.457652
2,0.7431899,0.8470299,0.7132584,0.7979431,0.4593821,0.8983361,10.03302
3,0.7637576,0.9611212,0.7456787,0.772993,0.45489,0.8841051,4.266442
4,0.7608684,0.9240332,0.7780997,0.7274812,0.4102381,0.9644899,4.998381
5,0.6658317,0.8012834,0.6679471,0.7035342,0.5149726,0.641421,25.41056
6,0.7771605,1.016182,0.7859883,0.7456204,0.4091326,0.928879,5.717534
7,0.8136156,1.086484,0.842941,0.7378567,0.4013735,0.999423,4.027953
8,0.8103498,1.039537,0.8753623,0.6928393,0.3589583,1.085052,2.920303
9,0.8274221,1.107491,0.9448384,0.6941438,0.2968696,1.093768,13.67775
10,0.7284703,1.004721,0.785341,0.71566,0.4001164,0.736513,11.86087
11,0.8366412,1.178771,0.9117464,0.7083393,0.3068494,1.0775,6.733326
12,0.7281432,0.9867537,0.8179491,0.7387391,0.3185738,0.7787005,19.46024
13,0.8705389,1.186598,1.012327,0.7306775,0.2511974,1.171895,18.28133
14,0.8924778,1.295423,1.005045,0.7027206,0.2675822,1.191618,5.099446
15,0.7422528,1.108657,0.8435889,0.7240926,0.2371558,0.7977697,36.89389
16,0.8891851,1.300711,1.006064,0.7456203,0.2045662,1.188964,22.87812
17,0.9150651,1.341359,0.971231,0.8118926,0.1723926,1.27845,20.06138
18,0.9522046,1.344811,1.147303,0.8037454,0.1370167,1.328147,9.154203
19,0.9509212,1.384364,1.068062,0.8656799,0.1427304,1.29377,10.11233

