step,OverallGrade,edgeCrossValue,nodeOverlapValue,edgeCrossAngleValue,angularResValue,edgeLengthValue,passedTime
0,0.4862885,0.3389276,0.316047,0.7307104,0.7110784,0.3346794,10.76753
1,0.6291429,0.6907277,0.5764735,0.7648275,0.5802788,0.5334072,0.5575005
2,0.5064743,0.3728203,0.3476518,0.8037815,0.6399705,0.3681473,0.7971361
3,0.4938669,0.3300673,0.4039185,0.7890168,0.5970758,0.3492562,0.7664844
4,0.6751781,0.8314933,0.6499376,0.751443,0.5334887,0.6095279,2.209935
5,0.4704341,0.4647854,0.3591064,0.7679407,0.4624828,0.2978552,2.583304
6,0.6721289,0.8222952,0.6862776,0.728407,0.4886559,0.6350085,3.750978
7,0.5174208,0.4406057,0.4108608,0.7672459,0.5333087,0.4350831,2.465856
8,0.4749019,0.5019681,0.3878349,0.731372,0.4316506,0.3216837,0
9,0.4983435,0.4744986,0.4790541,0.6007285,0.462418,0.4750181,2.233542
10,0.500916,0.4161718,0.5092886,0.7172879,0.4214652,0.4403665,14.90487
11,0.7090065,0.953862,0.7960822,0.6919867,0.3664918,0.7366102,15.33981
12,0.4833245,0.5577421,0.4309278,0.7313721,0.339154,0.3574263,13.85657
13,0.5212567,0.5083912,0.4740704,0.7307101,0.391093,0.5020191,1.980869
14,0.5139364,0.5253373,0.5303807,0.6323457,0.3557061,0.5259123,10.96594
15,0.8889154,1.232042,1.062419,0.6683667,0.238636,1.243113,4.056289
16,0.4827728,0.5949245,0.4596557,0.731372,0.2466575,0.3812544,1.245545
17,0.7616279,1.085428,0.9058864,0.7648274,0.2137868,0.838211,7.401976
18,0.539903,0.5761766,0.5372794,0.8037814,0.2133234,0.5689545,6.018958
19,0.5256205,0.6905193,0.4618668,0.8124455,0.1405889,0.522682,1.800566

