step,OverallGrade,edgeCrossValue,nodeOverlapValue,edgeCrossAngleValue,angularResValue,edgeLengthValue,passedTime
0,0.6108184,0.6578359,0.5490222,0.7284071,0.6108198,0.5080069,16.92954
1,0.4837997,0.3904196,0.340826,0.6962976,0.6524156,0.3390399,1.239874
2,0.6398137,0.742631,0.5394294,0.7811584,0.5666077,0.5692418,1.541535
3,0.6571127,0.7565113,0.6270936,0.812613,0.4923415,0.5970038,1.964417
4,0.4915164,0.4067133,0.4106177,0.663963,0.5691298,0.4071583,1.398685
5,0.7755624,0.9625345,0.7464162,0.7830492,0.381244,1.004568,17.29789
6,0.4973385,0.4647854,0.405745,0.6631405,0.5494027,0.4036188,13.5167
7,0.6811453,0.8776545,0.6375071,0.7456511,0.4721731,0.6727405,2.434728
8,0.693852,0.8880787,0.7361539,0.7387391,0.4054577,0.7008306,1.016113
9,0.6893539,0.8974368,0.7481006,0.6365309,0.4463096,0.7183915,19.1175
10,0.8449055,1.178772,0.8535061,0.773231,0.2955303,1.123488,9.203485
11,0.5040097,0.5391508,0.4706643,0.6299835,0.4120519,0.4681981,6.640286
12,0.8617437,1.219419,0.882938,0.7732309,0.2709028,1.162228,18.02752
13,0.716092,0.9615393,0.8015362,0.6700326,0.3776465,0.7697054,20.89601
14,0.7267154,1.046434,0.7601044,0.7101438,0.314782,0.8021128,8.105529
15,0.5046276,0.6313319,0.4222783,0.7385871,0.2530602,0.4778806,7.876142
16,0.7292632,1.025642,0.8549711,0.6700325,0.2746519,0.8210182,0.8261597
17,0.5237074,0.6135159,0.5355833,0.6962976,0.2403635,0.5327767,12.60091
18,0.7190595,1.06192,0.8175845,0.6814675,0.192362,0.8419635,8.392257
19,0.7942777,1.151213,0.9542727,0.812613,0.1448062,0.9084833,3.642513

