step,OverallGrade,edgeCrossValue,nodeOverlapValue,edgeCrossAngleValue,angularResValue,edgeLengthValue,passedTime
0,0.6346257,0.6791751,0.500657,0.7216218,0.4721148,0.7995596,111.5802
1,0.6442935,0.695262,0.5104028,0.7950215,0.4186794,0.802102,4.663001
2,0.6513008,0.6633481,0.553364,0.7988873,0.4038068,0.8370978,4.776251
3,0.6028228,0.6477706,0.561443,0.7761101,0.4605237,0.5682666,14.23616
4,0.6688945,0.6791751,0.5507224,0.793784,0.4012976,0.9194937,7.936691
5,0.6104141,0.6791748,0.5983592,0.7920533,0.4374858,0.5449977,1.732734
6,0.6660951,0.6633483,0.6324161,0.7625742,0.3589393,0.9131979,8.072581
7,0.6171819,0.6477703,0.6380037,0.7761099,0.4063444,0.6176811,4.308142
8,0.616389,0.6791753,0.5752063,0.8081988,0.3760859,0.643279,15.5442
9,0.7048372,0.7300249,0.6380037,0.8707377,0.3305363,0.9548836,7.220535
10,0.7199683,0.7131336,0.6508541,0.8659464,0.3304804,1.039427,7.893976
11,0.5235314,0.5150089,0.5215595,0.8716511,0.394123,0.3153143,13.6707
12,0.7046697,0.6633481,0.6851175,0.8715135,0.3140719,0.9892974,8.946557
13,0.6538609,0.6952614,0.6335174,0.8963475,0.3224926,0.7216855,11.40162
14,0.7322451,0.7300247,0.6890434,0.9464542,0.2644291,1.031274,15.10134
15,0.670611,0.7300245,0.6358348,0.9469293,0.3287461,0.7115203,4.397886
16,0.5442998,0.5395333,0.5408766,0.9806074,0.3334887,0.3269928,9.619935
17,0.745177,0.7131339,0.6758869,0.9741893,0.2832688,1.079406,4.527605
18,0.6786453,0.730025,0.6335174,1.008391,0.2728783,0.7484145,11.81595
19,0.7607376,0.7647878,0.6890436,1.060029,0.2203575,1.06947,3.816362

