edge crossing weight,node overlap weight,edge crossing angle weight,angular resolution weight,edge length weight
1,1,1.05,0.95,1.05
1,1.05,1.1,0.9,1.1
1,1.1,1.1,0.85,1.15
1,1.1,1.1,0.85,1.15
1,1.15,1.1,0.8,1.2
1,1.2,1.05,0.8,1.2
1,1.25,1.1,0.7499999,1.25
1,1.25,1.1,0.7499999,1.25
1.05,1.25,1.15,0.7499999,1.25
1.05,1.3,1.2,0.6999999,1.3
1.05,1.35,1.2,0.6499999,1.35
0.9999999,1.3,1.2,0.6999999,1.3
0.9999999,1.35,1.2,0.6499999,1.35
1.05,1.35,1.25,0.5999999,1.35
1.05,1.4,1.3,0.5499999,1.4
1.1,1.4,1.35,0.5499999,1.4
1.05,1.35,1.35,0.5999999,1.35
1.05,1.35,1.35,0.5499999,1.4
1.1,1.35,1.4,0.4999999,1.4
1.1,1.4,1.45,0.4499999,1.45

