edge crossing weight,node overlap weight,edge crossing angle weight,angular resolution weight,edge length weight
0.6207563,0.6207563,0.5897185,0.6207563,0.6207563
0.6367666,0.6367666,0.6049283,0.6049283,0.6686049
0.4572294,0.4572294,0.4572294,0.4812942,0.4812941
0.6345475,0.6345475,0.5710928,0.6345475,0.6345475
0.6413835,0.6734527,0.6093143,0.6093143,0.6734527
0.6790962,0.7114341,0.5820825,0.6144204,0.6467583
0.6971846,0.7288748,0.5387336,0.602114,0.6338042
0.7664351,0.7664351,0.5998188,0.5998188,0.6997886
0.7420299,0.7742921,0.5484569,0.5807191,0.6452434
0.7321334,0.7957971,0.5093102,0.572974,0.6048059
0.7665601,0.8332175,0.566588,0.566588,0.6665741
0.7970588,0.8634803,0.5313725,0.5313725,0.6974265
0.7579779,0.8211427,0.5369011,0.4737362,0.6948131
0.7281775,0.788859,0.4854518,0.455111,0.6674961
0.8568453,0.9253929,0.548381,0.4798334,0.7882977
0.9054562,0.9751066,0.5572039,0.4875534,0.8009805
0.9856463,1.058657,0.6205922,0.4745705,0.8761301
1.013787,1.086201,0.5793072,0.5068938,0.9051673
0.8509056,0.9116845,0.4558424,0.4254529,0.7597372
1.011561,1.081324,0.558103,0.4534586,0.9069172

