option,overallGrade,edgeCrossGrade,nodeOverlapGrade,edgeCrossAngleGrade,angularResolutionGrade,edgeLengthGrade,passedTime
alt1,0.5047221,0.5028933,0.2816176,0.7068144,0.870474,0.1618111,42.32348
alt1,0.5429693,0.4501933,0.2671384,0.7186632,0.8902588,0.3885928,3.178611
alt1,0.6281832,0.7893773,0.6456015,0.6559953,0.6869361,0.3630061,1.303718
alt1,0.5080374,0.4579108,0.409505,0.7190307,0.8341599,0.1195806,8.907936
alt1,0.6239116,0.8157576,0.5560737,0.6489685,0.7082453,0.3905127,11.98428
alt1,0.5346435,0.4747803,0.273721,0.6906791,0.8427891,0.3912482,3.35371
alt1,0.6414046,0.8249009,0.644546,0.6561105,0.4374952,0.6439704,11.01408
alt1,0.6404825,0.8892666,0.7489619,0.5775211,0.6620896,0.3245735,2.81607
alt1,0.5050948,0.5076901,0.2489112,0.64049,0.7817231,0.3466595,4.402493
alt1,0.6424742,0.9164005,0.6642522,0.6041234,0.4228018,0.6047931,3.009476
alt1,0.6509619,0.969258,0.7526763,0.5799015,0.6727218,0.280252,0.7705731
alt1,0.500955,0.5984877,0.431703,0.6011124,0.4729441,0.400528,1.44375
alt1,0.683893,1.135206,0.813116,0.5767106,0.490153,0.4042789,0
alt1,0.6860947,1.064873,0.7853456,0.5709963,0.3739661,0.6352922,0.8782613
alt1,0.5980083,0.9358395,0.6258522,0.5124232,0.4190083,0.4969186,0.6301323
alt1,0.6116754,0.9726269,0.6469119,0.4820108,0.3515532,0.6052741,1.973657
alt1,0.4714693,0.5677916,0.4498617,0.4684032,0.4980808,0.373209,0.6551662
alt1,0.388381,0.6280977,0.3668398,0.4537491,0.264915,0.2283032,0.8605441
alt1,0.4380702,0.6802354,0.3188327,0.4281308,0.4550678,0.3080843,0.6441402
alt1,0.452061,0.64009,0.4805586,0.3876728,0.4151424,0.336841,0.5031215

