edge crossing weight,node overlap weight,edge crossing angle weight,angular resolution weight,edge length weight
0.6244111,0.6244111,0.6244111,0.5946773,0.5649434
0.6583146,0.6583146,0.6583146,0.6283913,0.5386211
0.6788662,0.6788662,0.6788662,0.6198344,0.5312867
0.7232669,0.7232669,0.6629947,0.6328586,0.5424502
0.4773856,0.4773856,0.4358738,0.4151179,0.3528502
0.7306936,0.7306936,0.6698025,0.6089114,0.4871291
0.815962,0.815962,0.750685,0.6854081,0.4895772
0.7967182,0.7967182,0.7047893,0.6741463,0.4290022
0.6919817,0.6919817,0.6387524,0.5855231,0.3459909
0.6738423,0.6738423,0.5960913,0.5701743,0.3628382
0.8901165,0.8901165,0.7912148,0.692313,0.4285747
0.7187527,0.7187527,0.6655118,0.5324095,0.3460662
0.870611,0.870611,0.7773313,0.6218651,0.373119
0.7831652,0.7831652,0.6992548,0.5594038,0.3636125
0.9051624,0.9051624,0.7803125,0.6554626,0.37455
1.006856,1.006856,0.8726084,0.7047992,0.3691805
0.9761146,0.9761146,0.8186768,0.6612391,0.3148757
1.017816,1.017816,0.8587826,0.6997489,0.2862609
1.087254,1.087254,0.8566245,0.6918891,0.3294709
1.173306,1.173306,0.8627254,0.7246895,0.3450902

