option,overallGrade,edgeCrossGrade,nodeOverlapGrade,edgeCrossAngleGrade,angularResolutionGrade,edgeLengthGrade,passedTime
alt2,0.5186719,0.4433666,0.2899582,0.7185392,0.6725009,0.4689943,3.049163
alt2,0.5878243,0.6591266,0.4916852,0.723471,0.5336431,0.5311957,5.719693
alt2,0.5860817,0.6881034,0.4673619,0.6590072,0.5200539,0.5958821,1.799262
alt2,0.5756981,0.7165306,0.505818,0.6463576,0.47414,0.5356443,1.685223
alt2,0.5769555,0.7296087,0.5457115,0.6013265,0.4638555,0.5442755,1.688458
alt2,0.4730782,0.4527176,0.285419,0.5849281,0.5180566,0.5242696,0.5764878
alt2,0.5812542,0.8168016,0.5148003,0.5582883,0.402691,0.6136898,1.476636
alt2,0.485766,0.5948119,0.3495248,0.5349559,0.4353345,0.5142033,1.644212
alt2,0.5705209,0.8878217,0.5685204,0.5151039,0.3369095,0.5442491,1.673396
alt2,0.5773734,0.9276498,0.5556031,0.4760643,0.3212294,0.6063206,0.6148482
alt2,0.4588435,0.6105974,0.4318299,0.4297589,0.2873612,0.53467,0.4766038
alt2,0.4468548,0.590013,0.3836296,0.3986235,0.3174244,0.5445832,3.604428
alt2,0.4521695,0.62243,0.4444205,0.3930554,0.2671394,0.5338024,0.7023436
alt2,0.4475644,0.6930516,0.3965902,0.3928107,0.2692627,0.4861069,0.6843047
alt2,0.4312414,0.6914461,0.3855259,0.3249378,0.2457514,0.5085457,0.5424089
alt2,0.5676459,1.282158,0.5575686,0.3258138,0.1659972,0.5066918,1.39906
alt2,0.5765678,1.315731,0.5983038,0.3055258,0.1491509,0.5141281,0.8349017
alt2,0.5781818,1.37662,0.622562,0.2893879,0.1521667,0.4501722,0.488226
alt2,0.4115705,0.8336467,0.3828032,0.2366074,0.1610874,0.4437078,0.4649612
alt2,0.5652826,1.437224,0.5573694,0.2188941,0.1266432,0.4862823,0.6319381

