option,overallGrade,edgeCrossGrade,nodeOverlapGrade,edgeCrossAngleGrade,angularResolutionGrade,edgeLengthGrade,passedTime
alt1,0.5914222,0.5976217,0.5142097,0.7085415,0.4446083,0.69213,2.173535
alt1,0.4558377,0.3038542,0.2880239,0.7117944,0.7293512,0.246165,1.437278
alt1,0.4729266,0.3438268,0.3850668,0.7121197,0.6789481,0.2446713,1.280081
alt1,0.5966264,0.6830411,0.545043,0.7003816,0.3855183,0.6691479,1.499381
alt1,0.4460232,0.3348216,0.3087582,0.6460486,0.7270306,0.2134567,1.044557
alt1,0.4366708,0.3919225,0.3261715,0.6410821,0.6248692,0.1993088,1.313342
alt1,0.5556269,0.7547487,0.4821401,0.6063704,0.3989359,0.5359394,1.280428
alt1,0.4525613,0.432839,0.4015595,0.6221208,0.6251317,0.1811557,0.4886258
alt1,0.5265996,0.7302504,0.5213966,0.6197228,0.3568424,0.4047858,1.087051
alt1,0.4167135,0.4161744,0.3330917,0.57168,0.561304,0.2013174,0.5055853
alt1,0.6363539,1.146443,0.6931949,0.6062818,0.3766538,0.3591962,1.566891
alt1,0.5459765,0.9087815,0.5334132,0.5638187,0.3002407,0.4236285,1.905497
alt1,0.6344067,1.237195,0.6284794,0.5951207,0.3313825,0.3798565,12.49023
alt1,0.405074,0.4796116,0.388071,0.5269738,0.4520003,0.1787132,0.9264033

