edge crossing weight,node overlap weight,edge crossing angle weight,angular resolution weight,edge length weight
1.05,1.05,1.05,1.05,1
1.1,1.1,1.1,1.05,1.05
1.15,1.15,1.15,1.05,1.05
1.15,1.15,1.15,1.05,0.9999999
1.2,1.2,1.2,1.05,0.9999999
1.25,1.25,1.25,1.05,1.05
1.25,1.25,1.2,1.1,0.9999999
1.3,1.25,1.2,1.1,0.9499999
1.3,1.25,1.15,1.15,0.8999999
1.35,1.3,1.2,1.15,0.8999999
1.4,1.35,1.25,1.15,0.9499999
1.35,1.35,1.3,1.2,0.8999999
1.35,1.3,1.3,1.2,0.8499999
1.35,1.25,1.3,1.15,0.8499999
1.4,1.3,1.35,1.2,0.8499999
1.35,1.3,1.3,1.15,0.7999999
1.3,1.3,1.35,1.2,0.7499999
1.3,1.25,1.35,1.15,0.7499999
1.35,1.3,1.35,1.1,0.7499999
1.35,1.3,1.4,1.1,0.6999999

