option,overallGrade,edgeCrossGrade,nodeOverlapGrade,edgeCrossAngleGrade,angularResolutionGrade,edgeLengthGrade,passedTime
chosenOption,0.5327521,0.5193681,0.5962104,0.7176352,0.5036456,0.3269013,233.8905
chosenOption,0.5598634,0.5397919,0.6740253,0.7650928,0.525097,0.2953104,279.5625
chosenOption,0.5833794,0.5482661,0.5159739,0.7542409,0.5274658,0.5709502,249.3356
chosenOption,0.5879746,0.5569495,0.57156,0.7144117,0.5121337,0.5848182,287.4634
chosenOption,0.4984341,0.377853,0.3832479,0.7173214,0.5128213,0.500927,259.7917
chosenOption,0.572322,0.6527284,0.6776229,0.6911974,0.4682333,0.3718281,170.7338
chosenOption,0.5542155,0.5677279,0.675324,0.7273678,0.4825479,0.3181099,173.72
chosenOption,0.4784406,0.4294153,0.5392196,0.7179788,0.4617115,0.2438779,270.8348
chosenOption,0.4524325,0.2988311,0.4332736,0.724753,0.4751849,0.3301197,273.8591
chosenOption,0.5498132,0.5390123,0.6591261,0.793266,0.4732405,0.2844208,292.7523
chosenOption,0.4905011,0.4559747,0.5890037,0.7580226,0.4398172,0.2096872,184.1432
chosenOption,0.5408264,0.551524,0.5734686,0.7438271,0.483458,0.3518542,186.3892
chosenOption,0.5017941,0.4343941,0.6163095,0.7438627,0.4668904,0.2475141,287.2121
chosenOption,0.6001173,0.6883211,0.7184134,0.7744741,0.5053477,0.3140302,187.1876
chosenOption,0.5403785,0.6084417,0.5884981,0.7189096,0.4632453,0.322798,291.7581
chosenOption,0.5948713,0.768953,0.784062,0.7322006,0.429932,0.2592086,192.6738
chosenOption,0.5637956,0.7386508,0.7247843,0.6817576,0.4098083,0.2639766,304.1661
chosenOption,0.6105574,0.7807341,0.8951096,0.7162137,0.4043195,0.2564099,198.1071
chosenOption,0.5109678,0.6674543,0.6748594,0.6402842,0.3687363,0.2035045,305.7294
chosenOption,0.5180433,0.6360443,0.6767152,0.686018,0.3704996,0.2209394,201.2756

