step,OverallGrade,edgeCrossValue,nodeOverlapValue,edgeCrossAngleValue,angularResValue,edgeLengthValue,passedTime
0,0.5735087,0.472434,0.4848543,0.7456789,0.5368543,0.6277221,265.5514
1,0.4328243,0.3641388,0.3927124,0.6377205,0.4995347,0.2700153,241.6187
2,0.5580348,0.5713047,0.6751657,0.774601,0.4741101,0.2949926,281.8524
3,0.5236352,0.5196773,0.6331161,0.7326272,0.492295,0.2404604,254.6395
4,0.5151654,0.4925047,0.5784668,0.7730623,0.4766706,0.2551228,287.4634
5,0.5052593,0.4251347,0.5058591,0.7542005,0.5405822,0.3005199,289.4524
6,0.4841368,0.3988186,0.4114132,0.7719775,0.5258259,0.3126491,289.4524
7,0.6254435,0.6834545,0.6896529,0.8389982,0.5037755,0.4113365,292.1515
8,0.6391317,0.6232419,0.7432729,0.9682664,0.5322466,0.3286305,292.1515
9,0.6390441,0.5432993,0.5164869,0.8960658,0.538564,0.7008046,274.7252
10,0.5206004,0.3707511,0.4018862,0.9139535,0.4758153,0.4405957,295.4295
11,0.6057014,0.5669207,0.7865431,0.9272746,0.452902,0.2948669,295.4295
12,0.5081927,0.386199,0.4237818,0.833487,0.4211732,0.4763222,296.7914
13,0.5034233,0.3861988,0.4018862,0.9139532,0.3965127,0.4185659,299.7236
14,0.5071374,0.3545955,0.4521318,0.8836872,0.4440886,0.4011841,301.4778
15,0.5833785,0.6141642,0.5892622,0.9691374,0.371682,0.3726468,303.5907
16,0.5317178,0.4170949,0.4606329,0.9335055,0.3948499,0.452506,294.3723
17,0.6127367,0.6614075,0.6103938,1.039495,0.3828412,0.369546,304.1661
18,0.5063056,0.3451737,0.4358661,0.9909085,0.3955548,0.3640251,297.5211
19,0.5219172,0.3955106,0.5086482,0.985651,0.3608219,0.3589541,308.2717

