userID,stepNumber,algorithm,task,edgeCrossingWeight,nodeOverlappingWeight,edgeCrossingAngleWeight,angularResolutionWeight,edgeLengthWeight,cameraOffset
3,1,ConeBurst, Task1,1.012767,1.008564,0.9758212,0.9513523,1.051495,3
3,2,ConeBurst, Task1,1.056296,1.037171,0.9678344,0.9433033,0.9953961,3
3,3,ConeBurst, Task1,1.075659,1.039243,0.9520066,0.8907197,1.042373,3
3,4,ConeBurst, Task1,1.090341,1.051497,0.9272208,0.8397843,1.091157,3
3,5,ConeBurst, Task1,1.12114,1.047556,0.8952568,0.7918727,1.144175,3
3,6,ConeBurst, Task1,1.165444,1.070713,0.8842769,0.7907131,1.088853,3
3,7,ConeBurst, Task1,1.100927,1.063579,0.8991292,0.8123338,1.124031,3
3,8,ConeBurst, Task1,1.149155,1.084182,0.8860031,0.8082813,1.072378,3
3,9,ConeBurst, Task1,1.170615,1.106756,0.851132,0.7545872,1.11691,3
3,10,ConeBurst, Task1,1.228069,1.106619,0.8441656,0.7477198,1.073426,3
3,11,ConeBurst, Task1,1.252352,1.101838,0.8198427,0.6995669,1.1264,3
3,12,ConeBurst, Task1,1.294992,1.105444,0.7865194,0.6458962,1.167148,3
3,13,ConeBurst, Task1,1.223521,1.105957,0.818482,0.6838948,1.168145,3
3,14,ConeBurst, Task1,1.237953,1.112177,0.7858242,0.638004,1.226042,3
3,15,ConeBurst, Task1,1.275019,1.140567,0.7794353,0.6407461,1.164232,3
3,16,ConeBurst, Task1,1.318063,1.158972,0.7732726,0.6413092,1.108383,3
3,17,ConeBurst, Task1,1.257375,1.143955,0.8008875,0.6854823,1.112301,3
3,18,ConeBurst, Task1,1.300443,1.132378,0.7624505,0.6379372,1.166791,3
3,19,ConeBurst, Task1,1.318275,1.137681,0.727711,0.591718,1.224615,3
3,20,ConeBurst, Task1,1.374812,1.136707,0.7166663,0.5915871,1.180227,3

