option,overallGrade,edgeCrossGrade,nodeOverlapGrade,edgeCrossAngleGrade,angularResolutionGrade,edgeLengthGrade,passedTime
alt1,0.5068759,0.2874024,0.4675581,0.7243164,0.7409822,0.3141202,5.83103
alt1,0.5107741,0.3128901,0.4848676,0.6784716,0.7439368,0.3337043,4.283603
alt1,0.6035774,0.6335251,0.6641094,0.652524,0.5894106,0.4783181,5.453571
alt1,0.5134835,0.3091469,0.4176608,0.6672439,0.6613995,0.5119666,6.631582
alt1,0.6200901,0.6539439,0.6545528,0.6754994,0.5431914,0.573263,3.543347
alt1,0.5035707,0.219437,0.4943641,0.6767694,0.6052969,0.5219861,7.899126
alt1,0.6796901,0.7711743,0.789651,0.6180928,0.4118181,0.8077142,7.641281
alt1,0.7089724,0.7463591,0.714251,0.6669131,0.4107296,1.006609,5.598103
alt1,0.5086902,0.606955,0.486068,0.6371046,0.5896472,0.2236761,4.681811
alt1,0.4760757,0.3364374,0.5174727,0.6164888,0.5591356,0.3508441,2.220024
alt1,0.4943567,0.3529499,0.4447388,0.5916601,0.5552157,0.5272187,13.861
alt1,0.6273226,0.751112,0.7435159,0.6085868,0.466867,0.5665311,12.88418
alt1,0.6952617,0.8568965,0.7145536,0.5985265,0.3445413,0.9617904,12.14268
alt1,0.4902675,0.3516429,0.4444726,0.573659,0.5078227,0.5737405,8.773927
alt1,0.7175274,0.9021067,0.8160866,0.5796144,0.2774083,1.012421,7.533342
alt1,0.7150101,0.8643828,0.7659527,0.5781323,0.323972,1.042611,8.772894
alt1,0.6930443,0.8721626,0.7491541,0.588446,0.3420944,0.9133648,3.532758
alt1,0.466732,0.3613726,0.5348652,0.5800959,0.5079302,0.3493961,6.564463
alt1,0.4820003,0.3737504,0.4550911,0.5343875,0.4736972,0.5730753,6.718338
alt1,0.4522058,0.3788753,0.5319319,0.527093,0.4384525,0.3846765,11.59608

