stepNumber,algorithm,task,edgeCrossingWeight,nodeOverlappingWeight,edgeCrossingAngleWeight,angularResolutionWeight,edgeLengthWeight,cameraOffset
1,ForceDirectedAlgorithm, Task2,1.004972,1.003764,0.9988842,0.9952576,0.9971225,10
2,ForceDirectedAlgorithm, Task2,1.0097,1.005515,0.9978619,0.9938797,0.9930429,10
3,ForceDirectedAlgorithm, Task2,1.015184,1.008416,0.9975279,0.9918823,0.9869896,10
4,ForceDirectedAlgorithm, Task2,1.016915,1.008362,0.9992413,0.9933274,0.9821538,10
5,ForceDirectedAlgorithm, Task2,1.020193,1.009633,1.000561,0.9926655,0.9769478,10
6,ForceDirectedAlgorithm, Task2,1.02323,1.01024,1.001025,0.9922618,0.973244,10
7,ForceDirectedAlgorithm, Task2,1.02506,1.010909,1.001549,0.9923791,0.9701027,10
8,ForceDirectedAlgorithm, Task2,1.026842,1.012162,1.001392,0.9906811,0.9689223,10
9,ForceDirectedAlgorithm, Task2,1.029441,1.013123,1.001546,0.989665,0.9662238,10
10,ForceDirectedAlgorithm, Task2,1.031791,1.013937,1.001491,0.9899092,0.9628716,10
11,ForceDirectedAlgorithm, Task2,1.03222,1.014057,1.002405,0.99022,0.9610976,10
12,ForceDirectedAlgorithm, Task2,1.030187,1.014348,1.00181,0.9901958,0.9634584,10
13,ForceDirectedAlgorithm, Task2,1.030261,1.01546,1.001578,0.9891458,0.9635559,10
14,ForceDirectedAlgorithm, Task2,1.031896,1.015741,1.00161,0.988739,0.9620145,10
15,ForceDirectedAlgorithm, Task2,1.030918,1.016011,1.001055,0.9883533,0.963662,10
16,ForceDirectedAlgorithm, Task2,1.031031,1.016855,1.00068,0.987627,0.9638075,10
17,ForceDirectedAlgorithm, Task2,1.031942,1.017769,1.000577,0.9874071,0.9623047,10
18,ForceDirectedAlgorithm, Task2,1.031762,1.018393,0.9998875,0.9869152,0.9630427,10

