edge crossing weight,node overlap weight,edge crossing angle weight,angular resolution weight,edge length weight
1.05,1.05,1.05,1,1
1.1,1.1,1.1,0.95,1
1.15,1.15,1.15,0.95,1
1.2,1.2,1.2,1,1
1.25,1.25,1.25,0.95,1
1.2,1.2,1.2,1,1.05
1.25,1.25,1.25,0.95,1.05
1.3,1.25,1.25,1,0.9999999
1.3,1.3,1.3,1,1.05
1.3,1.35,1.35,1,1.1
1.35,1.35,1.4,1.05,1.05
1.4,1.4,1.45,0.9999999,0.9999999
1.45,1.45,1.5,0.9499999,0.9999999
1.5,1.5,1.549999,0.8999999,0.9499999
1.5,1.5,1.549999,0.8499999,0.8999999
1.5,1.5,1.549999,0.8499999,0.8499999
1.549999,1.549999,1.599999,0.7999999,0.8999999
1.599999,1.599999,1.649999,0.8499999,0.8999999
1.599999,1.599999,1.649999,0.8499999,0.8499999
1.649999,1.649999,1.699999,0.8499999,0.7999999

