edge crossing weight,node overlap weight,edge crossing angle weight,angular resolution weight,edge length weight
0.6095431,0.6095431,0.6095431,0.5805173,0.5805173
0.645308,0.645308,0.645308,0.5573115,0.5866436
0.7064395,0.7064395,0.7064395,0.5835806,0.6142953
0.7139843,0.7139843,0.7139843,0.594987,0.594987
0.7773941,0.7773941,0.7773941,0.5908196,0.6219154
0.5577282,0.5577282,0.5577282,0.4647736,0.4880123
0.7751432,0.7751432,0.7751432,0.5891089,0.6511204
0.7085896,0.6813362,0.6813362,0.545069,0.545069
0.8293935,0.8293935,0.8293935,0.6379951,0.6698949
0.7693329,0.7989226,0.7989226,0.5917947,0.6509741
0.8037925,0.8037925,0.8335626,0.6251721,0.6251721
0.868995,0.868995,0.9000305,0.6207108,0.6207108
0.9277621,0.9277621,0.9597539,0.6078443,0.6398361
0.9464111,0.9464111,0.9779582,0.5678468,0.5993939
0.7646055,0.7646055,0.7900924,0.4332766,0.4587634
0.7686815,0.7686815,0.7943042,0.4355863,0.4355863
1.012294,1.012294,1.044948,0.5224743,0.5877836
1.038196,1.038196,1.07064,0.551542,0.5839856
0.8261108,0.8261108,0.8519268,0.4388715,0.4388715
1.07041,1.07041,1.102847,0.5514235,0.5189869

