userID,stepNumber,algorithm,task,edgeCrossingWeight,nodeOverlappingWeight,edgeCrossingAngleWeight,angularResolutionWeight,edgeLengthWeight,cameraOffset
14,1,ForceDirectedAlgorithm, Task2,1.04352,1.033377,0.9943391,0.9846267,0.944137,3
14,2,ForceDirectedAlgorithm, Task2,1.085797,1.069425,0.9932363,0.963719,0.8878224,3
14,3,ForceDirectedAlgorithm, Task2,1.146972,1.093983,0.9808218,0.9321575,0.8460654,3
14,4,ForceDirectedAlgorithm, Task2,1.194078,1.134013,0.971687,0.906081,0.7941409,3
14,5,ForceDirectedAlgorithm, Task2,1.259633,1.162012,0.9559766,0.8667845,0.7555937,3
14,6,ForceDirectedAlgorithm, Task2,1.207628,1.132425,0.9684125,0.8872767,0.8042584,3
14,7,ForceDirectedAlgorithm, Task2,1.25436,1.190137,0.951644,0.842738,0.7611212,3
14,8,ForceDirectedAlgorithm, Task2,1.317631,1.180079,0.9453231,0.8386106,0.7183563,3
14,9,ForceDirectedAlgorithm, Task2,1.304308,1.256864,0.9297941,0.8057827,0.7032503,3
14,10,ForceDirectedAlgorithm, Task2,1.269896,1.323105,0.9411805,0.772168,0.6936508,3
14,11,ForceDirectedAlgorithm, Task2,1.3395,1.292014,0.9480082,0.7617461,0.658732,3
14,12,ForceDirectedAlgorithm, Task2,1.396094,1.347563,0.9191579,0.7255636,0.6116208,3
14,13,ForceDirectedAlgorithm, Task2,1.459614,1.389896,0.8945607,0.6818796,0.5740493,3
14,14,ForceDirectedAlgorithm, Task2,1.526652,1.441044,0.8597692,0.6425704,0.529964,3
14,15,ForceDirectedAlgorithm, Task2,1.521753,1.461382,0.9035816,0.6365843,0.4766996,3
14,16,ForceDirectedAlgorithm, Task2,1.578097,1.417078,0.9143275,0.6473095,0.4431885,3
14,17,ForceDirectedAlgorithm, Task2,1.654483,1.438209,0.8874819,0.60699,0.4128363,3
14,18,ForceDirectedAlgorithm, Task2,1.745002,1.448791,0.8586094,0.5702308,0.377367,3
14,19,ForceDirectedAlgorithm, Task2,1.799004,1.401909,0.8755963,0.5746234,0.3488675,3
14,20,ForceDirectedAlgorithm, Task2,1.880331,1.422161,0.8395843,0.5405167,0.3174066,3

