step,OverallGrade,edgeCrossValue,nodeOverlapValue,edgeCrossAngleValue,angularResValue,edgeLengthValue,passedTime
0,0.6238852,0.5015569,0.6290392,0.7680885,0.5617456,0.658996,251.063
1,0.4979956,0.2260573,0.4186489,0.6690717,0.3976372,0.7785631,252.7885
2,0.5256088,0.2550449,0.4094873,0.7251455,0.462233,0.7761334,407.0953
3,0.5014323,0.2260573,0.3424709,0.726335,0.4741227,0.7381755,259.3097
4,0.5269365,0.3456848,0.4531718,0.7304425,0.8122879,0.2930952,262.6066
5,0.6079816,0.4514012,0.5661352,0.8064925,0.589833,0.6260462,263.9011
6,0.5185274,0.3274908,0.4293207,0.7304428,0.8122877,0.2930951,415.6653
7,0.4920501,0.2022618,0.3745806,0.7395001,0.4394935,0.7044142,417.2553
8,0.5779607,0.3959997,0.4685378,0.7956281,0.6188015,0.6108367,267.3412
9,0.5074003,0.2396836,0.3682466,0.750259,0.4491846,0.7296275,427.0284
10,0.5320904,0.430527,0.4905235,0.7296021,0.5936977,0.4161017,430.7526
11,0.4904104,0.291103,0.3577671,0.6608767,0.8492098,0.2930952,274.3545
12,0.5010391,0.2978188,0.3482766,0.7282955,0.8203718,0.3104329,436.0226
13,0.517517,0.3448619,0.3679817,0.7753012,0.7810943,0.3183457,437.8666
14,0.5365769,0.2852936,0.4261814,0.7201734,0.6044509,0.6467854,280.3186
15,0.4886568,0.3138619,0.3324792,0.6834326,0.7733904,0.3401197,282.4459
16,0.4673281,0.1546707,0.2644098,0.7042857,0.3976371,0.8156372,442.1747
17,0.5577395,0.3510899,0.3774235,0.8064926,0.5617458,0.6919457,444.0584
18,0.5371391,0.3261173,0.3307326,0.7594637,0.590674,0.6787077,292.4254
19,0.5257204,0.2914432,0.3573939,0.7120233,0.5451517,0.7225899,293.2144

