edge crossing weight,node overlap weight,edge crossing angle weight,angular resolution weight,edge length weight
0.6783632,0.7122813,0.6444451,0.6444451,0.7122813
0.7057254,0.7057254,0.6721195,0.6385135,0.7057254
0.7166824,0.7508101,0.6825547,0.6142992,0.7508101
0.7353917,0.7688186,0.7019649,0.6016842,0.7353917
0.7207738,0.7862987,0.6880114,0.5897241,0.7207738
0.5177469,0.5670561,0.5424016,0.4684377,0.5177469
0.741202,0.774893,0.7075111,0.6401291,0.7075111
0.7518279,0.8201758,0.7176539,0.615132,0.7518279
0.7295886,0.7959147,0.6964254,0.563773,0.7627516
0.7341316,0.8008707,0.6673923,0.5339139,0.8008707
0.5056011,0.5537536,0.5056011,0.4092961,0.5537536
0.736147,0.7696082,0.6692246,0.5688409,0.7696082
0.7527658,0.7527658,0.687308,0.5563922,0.7527658
0.7664517,0.7997757,0.6998038,0.5331838,0.7997757
0.7900726,0.8244235,0.7557216,0.5152647,0.8587745
0.8012925,0.8709701,0.731615,0.4877433,0.9058089
0.7838908,0.8861374,0.7498087,0.4430687,0.9202196
0.8054175,0.94549,0.7353813,0.4202178,0.9805081
0.8090413,0.949744,0.73869,0.3869328,1.020095
0.7717761,0.9004053,0.6753041,0.3537307,0.9325626

