step,OverallGrade,edgeCrossValue,nodeOverlapValue,edgeCrossAngleValue,angularResValue,edgeLengthValue,passedTime
0,0.5106821,0.3864161,0.3460856,0.7620079,0.6865196,0.3723812,1.724576
1,0.4847403,0.3348212,0.4088824,0.7083494,0.7138193,0.2578289,1.094896
2,0.5238974,0.4169128,0.4957753,0.6663151,0.7060491,0.3344349,3.16545
3,0.6874573,0.7009594,0.699471,0.7191399,0.4616664,0.8560499,3.011905
4,0.7317805,0.8340979,0.7208232,0.8065321,0.4386463,0.8588032,3.545019
5,0.7082118,0.851842,0.7971587,0.7571264,0.5904589,0.5444732,2.232422
6,0.7105296,0.716135,0.7909375,0.8064583,0.447873,0.7912443,1.87643
7,0.6920385,0.8699486,0.7242804,0.7908924,0.5954215,0.4796495,3.985986
8,0.7041416,0.8166975,0.8090403,0.8031015,0.626704,0.465165,3.032774
9,0.6988127,0.8340975,0.7779427,0.798965,0.5115925,0.5714655,2.754725
10,0.7326863,0.8166981,0.8050497,0.7137325,0.3795106,0.9484408,2.189554
11,0.5006726,0.3515623,0.4478239,0.7829125,0.6386806,0.2823839,2.144267
12,0.540827,0.4605654,0.4630952,0.7062519,0.6952152,0.3790076,2.48791
13,0.5394512,0.4566189,0.5429919,0.699631,0.6317282,0.3662861,2.220068
14,0.7060972,0.8538207,0.8090408,0.8031015,0.5570701,0.507453,2.288425
15,0.5356513,0.4443786,0.4153029,0.8382087,0.5148897,0.4654766,1.133767
16,0.7212504,0.8905616,0.8427506,0.7554343,0.4921474,0.6253583,5.086717
17,0.5432913,0.456619,0.6138166,0.7329467,0.4830862,0.4299881,1.955097
18,0.7390033,0.8538207,0.9284918,0.8220071,0.3964253,0.6942717,2.02221
19,0.4925953,0.3850445,0.5257063,0.7829127,0.4132638,0.3560494,2.932049

