step,OverallGrade,edgeCrossValue,nodeOverlapValue,edgeCrossAngleValue,angularResValue,edgeLengthValue,passedTime
0,0.5485628,0.3985585,0.4152632,0.7373325,0.5559624,0.6356976,19.10895
1,0.5658891,0.5974081,0.572266,0.7613288,0.5472332,0.3512096,3.178552
2,0.6339003,0.6673294,0.6057105,0.7595302,0.513786,0.6231455,3.100108
3,0.5311331,0.3390448,0.4460129,0.7283273,0.5516633,0.5906172,5.671966
4,0.539656,0.3786306,0.3547204,0.745049,0.5800023,0.639878,12.57043
5,0.5530086,0.598626,0.5463445,0.7604656,0.5553464,0.3042606,6.576157
6,0.6242646,0.631883,0.5465829,0.7960773,0.545602,0.6011779,3.57394
7,0.639598,0.7024522,0.5443613,0.8112235,0.5045043,0.6354487,0.9124743
8,0.6640829,0.7375745,0.6057105,0.8318667,0.4893201,0.6559426,1.710278
9,0.6528999,0.7316542,0.585382,0.8327341,0.4401062,0.6746227,3.476716
10,0.6747043,0.7649113,0.6073143,0.8322624,0.4676588,0.7013746,4.27238
11,0.6160987,0.7981682,0.6427583,0.832891,0.4543741,0.3523019,4.315336
12,0.6090369,0.7860631,0.6941963,0.8398938,0.433689,0.2913423,4.538177
13,0.6752962,0.831425,0.6439207,0.8327342,0.3937792,0.6746221,8.961035
14,0.6951839,0.9131873,0.6957036,0.7577832,0.4092093,0.7000362,2.777195
15,0.6216989,0.848948,0.70126,0.7745849,0.4086615,0.3750399,4.71963
16,0.5913926,0.538054,0.5124161,0.7937542,0.4173719,0.6953667,8.862484
17,0.6826738,0.8646817,0.6731893,0.7965284,0.3706158,0.7083537,4.191188
18,0.7232986,0.94831,0.7589496,0.792228,0.3836337,0.7333717,6.240583
19,0.7398787,0.9311962,0.7969875,0.8153895,0.3401962,0.8156243,8.547897

