edge crossing weight,node overlap weight,edge crossing angle weight,angular resolution weight,edge length weight
0.6328957,0.6328957,0.6645405,0.6012509,0.6645405
0.6462962,0.678611,0.6462961,0.5816666,0.7109258
0.5572155,0.5837496,0.5572155,0.4510792,0.5572155
0.6040931,0.6040931,0.6040931,0.494258,0.5491756
0.6976758,0.6976758,0.7293884,0.5391132,0.6659634
0.712033,0.7443981,0.712033,0.5178422,0.712033
0.6910149,0.7538344,0.6910149,0.5339661,0.7224247
0.6725368,0.7336764,0.641967,0.5196875,0.7336764
0.6659628,0.7567758,0.6054207,0.5146076,0.7567758
0.6960915,0.791013,0.664451,0.5062484,0.8226535
0.6729596,0.7647267,0.6117814,0.4588361,0.8259048
0.5886573,0.6398448,0.5374697,0.3583131,0.6654385
0.69647,0.7873138,0.6056261,0.4239383,0.8175951
0.7731821,0.8376139,0.6443185,0.4510229,0.9020457
0.7348186,0.7960535,0.5817315,0.3980268,0.8879058
0.7895505,0.8527145,0.6316405,0.4105663,0.9474605
0.5536815,0.597976,0.420798,0.2657671,0.6422705
0.7573861,0.817977,0.5453181,0.3635454,0.9088633
0.632143,0.6564562,0.4619507,0.2674451,0.7050826
0.676434,0.7014872,0.5010623,0.3006374,0.7014872

