UserID,StepNr,algorithm,task,edgeCrossingWeight,nodeOverlapWeight,edgeCrossAngleWeight,angularResWeight,edgeLengthWeight,cameraOffset
0,0,ConeBurst,Task,1.110995,1.164277,0.9641603,0.893535,0.8670328,0
0,0,ConeBurst,Task,1.079848,0.9715831,0.9314333,0.8991552,1.117981,0
0,0,ConeBurst,Task,1.060322,1.011862,0.9905618,0.9609332,0.9763204,0
0,0,ConeBurst,Task,1.103229,1.087064,0.9673377,0.9426404,0.8997291,0
0,0,ConeBurst,Task,1.161557,1.121359,0.9764475,0.9098024,0.8308347,0
0,0,ConeBurst,Task,1.15209,1.146455,0.9828924,0.9291306,0.7894318,0
0,0,ConeBurst,Task,1.135001,1.101851,0.9753488,0.9361501,0.8516493,0
0,0,ConeBurst,Task,1.151769,1.125678,0.968076,0.9229688,0.8315083,0
0,0,ConeBurst,Task,1.164869,1.14385,0.9604431,0.916163,0.8146746,0
0,0,ConeBurst,Task,1.154922,1.125458,0.9590737,0.9216582,0.8388881,0
0,0,ConeBurst,Task,1.151924,1.131871,0.9623991,0.9252621,0.8285439,0
0,0,ConeBurst,Task,1.147654,1.121197,0.9604697,0.9267579,0.8439217,0
0,0,ConeBurst,Task,1.143607,1.113572,0.9609228,0.9283398,0.8535591,0
0,0,ConeBurst,Task,1.146851,1.117605,0.9595019,0.9265971,0.8494459,0
0,0,ConeBurst,Task,1.149005,1.120151,0.9595682,0.9252247,0.8460519,0
0,0,ConeBurst,Task,1.147976,1.121883,0.9603597,0.9256998,0.8440816,0
0,0,ConeBurst,Task,1.146944,1.119349,0.9598842,0.9260374,0.8477855,0
0,0,ConeBurst,Task,1.146654,1.117331,0.9598838,0.9259121,0.8502186,0
0,0,ConeBurst,Task,1.145954,1.117946,0.9604559,0.9263892,0.8492551,0
0,0,ConeBurst,Task,1.146314,1.118666,0.9602091,0.9259449,0.8488666,0

