step,OverallGrade,edgeCrossValue,nodeOverlapValue,edgeCrossAngleValue,angularResValue,edgeLengthValue,passedTime
0,0.455627,0.4007567,0.4796532,0.697206,0.5172328,0.1832864,46.32938
1,0.4662309,0.4207945,0.503636,0.7320663,0.4913712,0.1832864,0
2,0.5748497,0.4794537,0.3754412,0.6859208,0.5596362,0.7737967,0
3,0.4398622,0.4007565,0.4939677,0.6377406,0.4723712,0.1944748,0
4,0.5846984,0.4794537,0.4265253,0.6656675,0.5933985,0.7584468,0
5,0.5904772,0.7125908,0.6765451,0.7750446,0.4458984,0.3423071,0
6,0.5984494,0.6802004,0.7456107,0.729287,0.4850632,0.3520858,0
7,0.4651177,0.4207944,0.4917908,0.6477749,0.5495464,0.2156819,0
8,0.5782253,0.5675843,0.3883348,0.7214208,0.5202274,0.693559,0
9,0.4848538,0.4608702,0.568063,0.7048711,0.4959897,0.1944748,0
10,0.6092964,0.7449812,0.6765455,0.7750445,0.4904883,0.3594225,4.465103
11,0.4835798,0.4408322,0.5276186,0.6972058,0.5689561,0.1832863,0
12,0.4817496,0.4408322,0.491791,0.6477746,0.6018841,0.2264661,0
13,0.6063668,0.5675848,0.3830364,0.6620501,0.6475735,0.771589,0
14,0.6145352,0.5933837,0.3706831,0.7214208,0.624273,0.762915,0
15,0.585228,0.5479474,0.3856325,0.6970968,0.6544213,0.6410418,0
16,0.6333698,0.744981,0.7456109,0.7292869,0.5578228,0.3891475,0
17,0.6232613,0.744981,0.7003489,0.6750281,0.6030594,0.3928891,0
18,0.62551,0.5933841,0.3830361,0.6968949,0.6475736,0.8066612,1.883455
19,0.5562686,0.4408323,0.3408149,0.6639103,0.6377746,0.6980109,0

