step,OverallGrade,edgeCrossValue,nodeOverlapValue,edgeCrossAngleValue,angularResValue,edgeLengthValue,passedTime
0,0.6268713,0.5444486,0.5329401,0.760647,0.4965679,0.7997528,61.26678
1,0.6122695,0.5980432,0.6400561,0.796371,0.5397717,0.4871057,16.02703
2,0.6361721,0.6898698,0.7179626,0.7853996,0.4987959,0.4888325,19.44429
3,0.6800671,0.5988937,0.6687936,0.8018775,0.5378869,0.792884,11.59556
4,0.6517316,0.6578473,0.7296222,0.8312147,0.539342,0.5006315,19.2754
5,0.7067798,0.6261157,0.6991933,0.8400623,0.5378869,0.8306406,23.89613
6,0.6781899,0.7555717,0.78634,0.8601995,0.4534507,0.5353878,23.46961
7,0.7036217,0.594184,0.6190612,0.9122114,0.4976435,0.8950086,17.14747
8,0.7253308,0.5941841,0.6429794,0.943224,0.4693607,0.9769059,20.49134
9,0.6910157,0.7176521,0.7959521,0.9067796,0.4657953,0.5688995,13.5862
10,0.7319914,0.6189415,0.6448554,0.9518728,0.4714516,0.9728354,37.7501
11,0.729398,0.8212734,0.8547174,0.9349995,0.4307782,0.6052216,14.16621
12,0.7607049,0.6436996,0.6965614,0.9825249,0.4224247,1.058314,8.275002
13,0.7579333,0.7774559,0.8666703,1.051736,0.4252438,0.6685604,8.417752
14,0.801585,0.7350057,0.7194692,1.026873,0.446911,1.079666,11.21785
15,0.7742205,0.8073587,0.864076,1.061828,0.4883648,0.6494747,12.77249
16,0.8258802,0.6932145,0.7501427,1.100428,0.4458927,1.139723,10.24157
17,0.8210335,0.9198261,0.9768293,1.098389,0.4340827,0.6760405,14.51966
18,0.8219599,0.8671624,0.9666708,1.132639,0.4252438,0.7180834,6.266291
19,0.8177801,0.8970651,0.9949398,1.095692,0.4412798,0.659924,11.19407

