edge crossing weight,node overlap weight,edge crossing angle weight,angular resolution weight,edge length weight
1.05,1.05,1,0.95,1.05
1.1,1.1,1.05,0.9,1.1
1.15,1.1,1.1,0.85,1.15
1.2,1.1,1.1,0.8,1.2
1.2,1.15,1.15,0.8,1.15
1.25,1.2,1.2,0.7499999,1.2
1.25,1.2,1.2,0.7499999,1.2
1.3,1.2,1.25,0.6999999,1.25
1.3,1.25,1.3,0.6999999,1.2
1.3,1.25,1.35,0.6999999,1.2
1.25,1.2,1.3,0.7499999,1.15
1.25,1.2,1.3,0.7499999,1.15
1.25,1.2,1.35,0.7499999,1.1
1.3,1.25,1.3,0.6999999,1.15
1.35,1.3,1.35,0.6499999,1.2
1.3,1.25,1.3,0.6999999,1.15
1.25,1.2,1.25,0.7499999,1.1
1.25,1.2,1.3,0.7499999,1.05
1.3,1.25,1.3,0.6999999,1.1
1.3,1.25,1.3,0.6499999,1.1

