option,overallGrade,edgeCrossGrade,nodeOverlapGrade,edgeCrossAngleGrade,angularResolutionGrade,edgeLengthGrade,passedTime
alt2,0.5964266,0.6039613,0.5975769,0.7483718,0.6840175,0.3482056,18.33848
alt2,0.5913307,0.5885007,0.6237245,0.7117424,0.6248655,0.4078203,12.02329
alt2,0.6294036,0.6632967,0.5599713,0.7380541,0.437127,0.7485692,15.51949
alt2,0.6359214,0.6438463,0.5942584,0.7820463,0.4487422,0.7107135,2.276171
alt2,0.4820415,0.2976018,0.3970564,0.6693085,0.8485303,0.1977106,4.086938
alt2,0.4630157,0.266735,0.4675442,0.7035404,0.7631859,0.114073,6.841318
alt2,0.4931697,0.3613641,0.4091846,0.7256415,0.8098246,0.1598336,15.28173
alt2,0.5030521,0.3440668,0.4593088,0.7234094,0.7846979,0.2037779,7.123258
alt2,0.4545442,0.3183868,0.3924154,0.6410761,0.6814089,0.2394337,3.621816
alt2,0.5835757,0.6168221,0.6307566,0.6878368,0.5276418,0.4548211,4.975359
alt2,0.565284,0.6419813,0.6758493,0.6959028,0.4017112,0.4109751,5.330224
alt2,0.4752393,0.394792,0.4291656,0.639946,0.6038715,0.3084213,2.131261
alt2,0.462052,0.3649052,0.4314942,0.6578959,0.5931272,0.2628377,4.421004
alt2,0.5646741,0.6657019,0.5660205,0.6561631,0.4346314,0.5008531,4.953566
alt2,0.6695442,0.802768,0.5764032,0.6159974,0.2610008,1.091552,4.94603
alt2,0.6694664,0.7258808,0.5834181,0.6732767,0.2816726,1.083084,3.432187
alt2,0.5628245,0.6122821,0.5919561,0.6413998,0.3982913,0.5701929,0
alt2,0.5768203,0.6565985,0.5840794,0.6534273,0.4340875,0.5559086,1.388315
alt2,0.586752,0.6969888,0.6189961,0.6338361,0.3802933,0.6036456,2.598768
alt2,0.5668416,0.6271567,0.5853365,0.6264423,0.4246846,0.5705881,1.410038

