step,OverallGrade,edgeCrossValue,nodeOverlapValue,edgeCrossAngleValue,angularResValue,edgeLengthValue,passedTime
0,0.5156621,0.3627892,0.4358558,0.6953739,0.8457268,0.2385649,8.067319
1,0.6689464,0.7644648,0.651376,0.7593706,0.415006,0.7545148,10.023
2,0.6063763,0.6039613,0.6261334,0.7471274,0.6743457,0.3803139,11.12037
3,0.5137472,0.3446498,0.4140629,0.6953735,0.8880134,0.2266366,5.413774
4,0.5909621,0.5513512,0.6232415,0.7155854,0.6939071,0.3707252,5.731096
5,0.6039103,0.6039613,0.5975767,0.7857907,0.6840174,0.3482056,13.55081
6,0.6404374,0.6466957,0.7297724,0.7989429,0.6538675,0.3729086,10.05119
7,0.6263075,0.6643572,0.6574398,0.784484,0.6069114,0.4183453,6.552044
8,0.6104469,0.6945558,0.6274557,0.7483718,0.5814149,0.4004363,6.45144
9,0.4612442,0.3172712,0.4982546,0.7329706,0.6148497,0.1428749,2.999872
10,0.5042502,0.440841,0.4374858,0.7992327,0.6451683,0.1985232,7.297341
11,0.6763406,0.8321018,0.7442496,0.855251,0.4403176,0.5097831,2.599552
12,0.6630079,0.8153474,0.6887468,0.8591967,0.4383247,0.5134241,11.66144
13,0.5083198,0.4937421,0.4374859,0.8718902,0.5161346,0.2223461,5.696123
14,0.6630247,0.8415361,0.6855661,0.8587025,0.363475,0.5658439,6.459586
15,0.6776386,0.8961099,0.7104201,0.8552511,0.3774149,0.5489971,13.22592
16,0.4476125,0.3569304,0.4529584,0.7678741,0.4995652,0.1607342,16.37309
17,0.5105132,0.4656846,0.4480451,0.8429686,0.5266078,0.2692602,1.409737
18,0.7472841,0.9818266,0.5670448,0.8753645,0.2378506,1.074334,3.127358
19,0.7478932,1.019286,0.6203584,0.8316915,0.262109,1.006021,1.665686

