step,OverallGrade,edgeCrossValue,nodeOverlapValue,edgeCrossAngleValue,angularResValue,edgeLengthValue,passedTime
0,0.6075347,0.5731635,0.6140541,0.7169068,0.5053565,0.6281927,2.487286
1,0.5351546,0.3204449,0.3715601,0.749385,0.6011759,0.6332072,6.084069
2,0.5186985,0.4397475,0.4329101,0.6847055,0.7408602,0.2952688,1.37708
3,0.5383123,0.3164595,0.350188,0.7044647,0.7098892,0.61056,0.9298372
4,0.6292878,0.6215724,0.524822,0.7251263,0.417147,0.8577713,0.61292
5,0.5210384,0.3044227,0.3529822,0.7119156,0.6328167,0.6030545,1.311216
6,0.5440823,0.3588704,0.3924706,0.6948614,0.6366299,0.6375792,1.576321
7,0.5362712,0.3497711,0.3870499,0.6340185,0.6389003,0.6716159,0.4101085
8,0.5371712,0.3115427,0.4119638,0.633508,0.5942461,0.7345957,0.4097564
9,0.5506657,0.3540944,0.444403,0.6596364,0.4772297,0.8179651,0.4538517
10,0.5643049,0.4306445,0.4709647,0.65829,0.5026025,0.7590227,1.158773
11,0.5663784,0.6775942,0.6074228,0.6826254,0.4875962,0.3766535,1.743412
12,0.5326591,0.5716722,0.5627832,0.6486682,0.481559,0.3986128,0
13,0.7142291,0.8391226,0.7085097,0.6163571,0.2634612,1.143695,7.400514
14,0.5655795,0.4665315,0.5341233,0.6170292,0.3703527,0.8398611,0.4867427
15,0.7078961,0.839123,0.7085099,0.5438444,0.2634612,1.184542,0.3330479
16,0.5899269,0.6318456,0.5503962,0.4805798,0.400388,0.886425,2.419932
17,0.5624956,0.4844752,0.4905883,0.5485749,0.4690956,0.8197442,0.4870991
18,0.5573312,0.5024184,0.5341232,0.5399004,0.3703527,0.8398613,1.22735
19,0.5426631,0.4486228,0.4830281,0.5245695,0.4429716,0.8141235,1.010335

