step,OverallGrade,edgeCrossValue,nodeOverlapValue,edgeCrossAngleValue,angularResValue,edgeLengthValue,passedTime
0,0.534898,0.4968721,0.3457502,0.6997233,0.579716,0.5524287,2.597096
1,0.628636,0.7049627,0.5075944,0.7022288,0.5385669,0.6898274,1.088659
2,0.5021406,0.5114747,0.1977491,0.7443104,0.6718425,0.3853261,0.45425
3,0.4841148,0.4521039,0.2101155,0.7337748,0.7050576,0.3195221,0
4,0.5411637,0.5573987,0.2655338,0.8573478,0.6168693,0.4086688,11.82902
5,0.6135764,0.7690126,0.4854786,0.7227409,0.5900058,0.5006439,1.487691
6,0.5096927,0.5166904,0.3651586,0.7855672,0.6210129,0.2600342,0.4584793
7,0.5338495,0.6566417,0.3683469,0.7504267,0.649009,0.2448231,2.280626
8,0.5996605,0.7606821,0.4559763,0.817736,0.6580079,0.3059003,1.931939
9,0.5268335,0.5613273,0.2401322,0.8135405,0.6138918,0.405276,2.386697
10,0.6329522,0.6840016,0.4321875,0.7982197,0.5766369,0.6737151,0.4487767
11,0.7190723,0.9164514,0.6598728,0.7373399,0.4103366,0.8713608,0.6156395
12,0.5467242,0.7387218,0.4163919,0.7504268,0.5465338,0.2815465,0.9548699
13,0.5440171,0.6576101,0.2570738,0.7797537,0.5118799,0.5137681,1.009288
14,0.5585847,0.7660823,0.4200103,0.8633601,0.5316414,0.2118294,0.980762
15,0.6123335,0.8874623,0.4916079,0.8368862,0.5325569,0.3131543,3.057071
16,0.6458634,0.7934418,0.4667626,0.7619368,0.4748774,0.7322987,1.169111
17,0.7471903,1.022196,0.6852526,0.7724515,0.3846905,0.8713608,1.300422
18,0.5270506,0.6458632,0.2701486,0.8036581,0.5287932,0.38679,1.811333
19,0.7923754,1.194256,0.8315862,0.8690368,0.3705823,0.6964158,0.7224262

