step,OverallGrade,edgeCrossValue,nodeOverlapValue,edgeCrossAngleValue,angularResValue,edgeLengthValue,passedTime
0,0.5641583,0.6532315,0.568911,0.7470895,0.4625843,0.3889754,34.42313
1,0.577738,0.7082556,0.5756556,0.8011073,0.4453113,0.3583605,9.107263
2,0.6298517,0.7902526,0.6450393,0.7641139,0.4186197,0.5312331,9.563324
3,0.5361083,0.549324,0.556128,0.8070142,0.5319362,0.2361388,9.061956
4,0.6423057,0.6576644,0.6879107,0.8005341,0.4621131,0.6033065,0.8553154
5,0.6505736,0.8261732,0.7064717,0.7641137,0.3953631,0.5607461,1.332406
6,0.6020116,0.7838778,0.6826934,0.7844439,0.3700675,0.3889754,9.506439
7,0.6692127,0.8980144,0.7778382,0.7811356,0.3576863,0.5313888,4.331392
8,0.6828833,1.055593,0.6864437,0.7746979,0.3566925,0.5409896,8.872419
9,0.6134796,0.6694936,0.6784015,0.8135542,0.434144,0.4718044,29.91122
10,0.6546276,1.063535,0.6665077,0.785161,0.2949108,0.4630234,3.599437
11,0.6894271,1.005776,0.8102475,0.7811356,0.2906201,0.5593566,10.49348
12,0.7324712,1.108035,0.8276586,0.8009195,0.3363196,0.5894233,4.276814
13,0.7441093,1.077617,0.8856496,0.7974821,0.2362831,0.7235147,6.414785
14,0.7298135,1.113537,0.8600525,0.7641137,0.2325665,0.6787977,3.187364
15,0.7414801,1.149457,0.9398879,0.7456294,0.2011985,0.6712279,3.660605
16,0.7739747,1.260867,0.9549906,0.7281085,0.224213,0.7016945,2.818125
17,0.6305405,0.8120436,0.7606873,0.6371583,0.2133351,0.7294786,4.342594
18,0.7241318,1.183622,0.8167706,0.6682982,0.1790464,0.7729218,11.07963
19,0.6531405,0.8678616,0.8412179,0.702615,0.2170719,0.6369359,14.2329

