edge crossing weight,node overlap weight,edge crossing angle weight,angular resolution weight,edge length weight
0.6413816,0.6413816,0.6108397,0.5802976,0.6108397
0.6670175,0.6366985,0.6063796,0.5457416,0.6366985
0.7094438,0.6477531,0.6477531,0.5552169,0.6477531
0.5612279,0.5102072,0.5102072,0.4591865,0.5612279
0.7033235,0.642165,0.5810064,0.5198479,0.6727443
0.6981502,0.6374415,0.6070871,0.5160241,0.6981502
0.7297199,0.638505,0.638505,0.516885,0.7297199
0.7374707,0.6452869,0.6145589,0.5223751,0.7681986
0.6595383,0.6045768,0.5496153,0.4946538,0.6595383
0.6564122,0.6290618,0.5470102,0.4649587,0.6290618
0.7742113,0.7122744,0.6193691,0.4954953,0.7122744
0.8011839,0.7395544,0.6162954,0.4622216,0.7087397
0.8104826,0.7504469,0.6003576,0.4202503,0.6603934
0.7804285,0.722619,0.6070001,0.3757619,0.6648095
0.777974,0.6915326,0.6339049,0.3745801,0.6915326
0.8288363,0.7674411,0.6446506,0.3990694,0.7674411
0.8620417,0.8004673,0.6773186,0.3694465,0.7696801
0.8480248,0.7602982,0.6140871,0.3509069,0.731056
0.8733779,0.7860402,0.6113647,0.3493512,0.6987025
0.9684279,0.8747091,0.656032,0.3436357,0.7497507

