step,OverallGrade,edgeCrossValue,nodeOverlapValue,edgeCrossAngleValue,angularResValue,edgeLengthValue,passedTime
0,0.535478,0.3483419,0.4264336,0.7242709,0.5457991,0.6325445,75.76299
1,0.5664534,0.576238,0.6310048,0.7769233,0.522087,0.3260139,3.602794
2,0.5412369,0.562125,0.648477,0.7069156,0.4843465,0.3043204,2.099291
3,0.5362185,0.4347365,0.6310045,0.8325645,0.5097089,0.2730779,4.916258
4,0.4946196,0.4158351,0.5527326,0.7705467,0.4825428,0.2514407,1.377968
5,0.5097125,0.3361287,0.4771302,0.6607724,0.4529006,0.6216306,1.72081
6,0.5058386,0.3361287,0.4419759,0.6883729,0.423891,0.6388242,1.103781
7,0.6087933,0.7582237,0.680742,0.840512,0.409221,0.3552675,0.8147331
8,0.5185132,0.3507429,0.3722125,0.7505116,0.4584618,0.6606371,1.781668
9,0.5407656,0.3507431,0.4998506,0.69555,0.4795418,0.6781424,0.8326921
10,0.5436268,0.4536384,0.6911002,0.7929186,0.4813917,0.2990854,0.977706
11,0.5813899,0.4354272,0.5523097,0.7411448,0.4232905,0.7547774,0.9334814
12,0.6359083,0.6643298,0.6299096,0.7666045,0.4169514,0.7017463,0.7790231
13,0.5261655,0.4317226,0.5227354,0.732584,0.3975409,0.5462446,0.7672958
14,0.6548425,0.9154022,0.7553263,0.7972025,0.3507098,0.4555717,1.69795
15,0.6188599,0.8530017,0.6860749,0.830732,0.3120272,0.4124636,1.687279
16,0.6179103,0.4702616,0.6447871,0.7474855,0.3725146,0.8545026,2.998776
17,0.5695195,0.5292446,0.7812436,0.8722104,0.3398058,0.3250928,0.899825
18,0.5680867,0.4238145,0.7185525,0.750796,0.3391052,0.6081657,2.575029
19,0.6156761,0.7129372,0.7675244,0.8070715,0.3408736,0.4499737,0.7105962

