option,overallGrade,edgeCrossGrade,nodeOverlapGrade,edgeCrossAngleGrade,angularResolutionGrade,edgeLengthGrade,passedTime
alt1,0.4932105,0.3780319,0.5527327,0.7705469,0.5361587,0.2285824,24.14616
alt1,0.5036641,0.3113868,0.459612,0.6745568,0.5135832,0.5591816,2.243373
alt1,0.544079,0.3943142,0.4752678,0.6956102,0.4907577,0.6644451,3.109945
alt1,0.6094873,0.8197372,0.5513619,0.6954484,0.449244,0.5316449,5.897135
alt1,0.5780858,0.4769168,0.4356998,0.7225443,0.5051178,0.7501503,5.293053
alt1,0.5513723,0.7848323,0.5625548,0.655644,0.4579456,0.2958848,2.343388
alt1,0.5675061,0.7713763,0.6382923,0.6211234,0.4648918,0.3418468,1.317414
alt1,0.4848877,0.4402658,0.3720099,0.6141532,0.4521876,0.545822,4.194356
alt1,0.5936277,0.8260183,0.5133668,0.5368443,0.4105879,0.6813211,2.180321
alt1,0.607558,0.9140044,0.488978,0.5864928,0.4037504,0.6445642,2.28947
alt1,0.5122905,0.5199662,0.3805644,0.5760128,0.4156029,0.6693063,0.63276
alt1,0.4608635,0.5989204,0.4837064,0.5917814,0.391746,0.2381634,0.7561854
alt1,0.4719557,0.4910888,0.461685,0.5141943,0.3948442,0.4979663,3.968775
alt1,0.5892155,1.109753,0.5277053,0.5474212,0.3756873,0.3855099,0.6012976
alt1,0.4660628,0.5173993,0.4428697,0.4949668,0.3623814,0.5126968,1.559335
alt1,0.4632855,0.5680439,0.3285311,0.5113093,0.3535224,0.5550207,1.882947
alt1,0.4300532,0.6900285,0.353933,0.4474009,0.3204309,0.3384726,0.7552372
alt1,0.477765,0.5598507,0.2810529,0.4679763,0.2841477,0.7957974,2.475935
alt1,0.573779,1.026278,0.3876211,0.481856,0.2741876,0.6989518,1.255694
alt1,0.44766,0.6089711,0.3250198,0.4113499,0.2772424,0.6157168,1.026672

