step,OverallGrade,edgeCrossValue,nodeOverlapValue,edgeCrossAngleValue,angularResValue,edgeLengthValue,passedTime
0,0.5689245,0.5713029,0.5897452,0.7611321,0.5174672,0.4049752,16.75381
1,0.6248788,0.6490443,0.6306307,0.8511708,0.5261927,0.4673554,18.00947
2,0.4982477,0.3711581,0.5943182,0.7802516,0.4335324,0.3119779,26.89632
3,0.5295781,0.4905273,0.7001802,0.7565151,0.4556083,0.2450595,8.159446
4,0.6067649,0.6799512,0.651373,0.7869709,0.4619783,0.4535513,11.34856
5,0.5375464,0.5128241,0.7306227,0.7565152,0.4556084,0.2321617,4.83173
6,0.4648356,0.2771766,0.4795734,0.7208472,0.4577704,0.3888103,23.76031
7,0.521634,0.4905275,0.7044683,0.727978,0.4375305,0.2476657,21.48059
8,0.4580846,0.3711581,0.6293104,0.651939,0.4128851,0.2251306,21.72375
9,0.5353891,0.4682305,0.8406612,0.6990764,0.4108481,0.2581291,9.636028
10,0.5598583,0.5998679,0.6237969,0.7437447,0.4083621,0.4235201,10.92671
11,0.5621088,0.4905273,0.8742877,0.7767518,0.4108482,0.2581291,16.30476
12,0.5554148,0.5799502,0.6446556,0.7375441,0.4101256,0.4047983,21.92755
13,0.5875469,0.6063115,0.6926824,0.7749224,0.440199,0.4236191,13.75309
14,0.5849649,0.5826448,0.9038293,0.7828882,0.416966,0.2384965,12.91582
15,0.6137473,0.6855636,0.6717815,0.8220337,0.4355862,0.4537714,10.30831
16,0.639592,0.7141284,0.6685316,0.8687265,0.451476,0.4950975,32.03046
17,0.6372052,0.579714,0.9457957,0.8944145,0.4540966,0.3120053,26.51296
18,0.6693143,0.7426939,0.957734,0.8813801,0.4437126,0.3210507,8.722641
19,0.6389413,0.7712588,0.7162839,0.9057099,0.4856856,0.3157686,5.352378

