UserID,StepNr,algorithm,task,edgeCrossingWeight,nodeOverlapWeight,edgeCrossAngleWeight,angularResWeight,edgeLengthWeight,cameraOffset
0,0,ConeBurst,Task,1.125542,1.084494,0.9002332,0.7971274,1.092604,0
0,0,ConeBurst,Task,1.216696,1.157667,0.8385171,0.632691,1.154428,0
0,0,ConeBurst,Task,1.304777,1.194769,0.7758116,0.5501199,1.174522,0
0,0,ConeBurst,Task,1.345436,1.235057,0.7306006,0.487029,1.201878,0
0,0,ConeBurst,Task,1.404188,1.248777,0.70652,0.4425979,1.197918,0
0,0,ConeBurst,Task,1.430551,1.265429,0.6799936,0.4135835,1.210443,0
0,0,ConeBurst,Task,1.451786,1.274913,0.663241,0.3893393,1.220721,0
0,0,ConeBurst,Task,1.478099,1.279865,0.6525815,0.3735512,1.215903,0
0,0,ConeBurst,Task,1.492985,1.284075,0.6459232,0.3615403,1.215476,0
0,0,ConeBurst,Task,1.508668,1.287634,0.6378068,0.3529926,1.212899,0
0,0,ConeBurst,Task,1.514938,1.290929,0.6321898,0.3465671,1.215375,0
0,0,ConeBurst,Task,1.521108,1.292849,0.6285882,0.3418074,1.215647,0
0,0,ConeBurst,Task,1.526769,1.292995,0.6275552,0.3382566,1.214424,0
0,0,ConeBurst,Task,1.527954,1.292774,0.6275887,0.3385524,1.213131,0
0,0,ConeBurst,Task,1.531456,1.293828,0.6256632,0.3367512,1.212303,0
0,0,ConeBurst,Task,1.532276,1.293314,0.6251653,0.3370287,1.212216,0
0,0,ConeBurst,Task,1.53402,1.293267,0.6247299,0.3358887,1.212095,0
0,0,ConeBurst,Task,1.534743,1.293235,0.6246383,0.336001,1.211383,0
0,0,ConeBurst,Task,1.535299,1.293282,0.6246212,0.3360803,1.210717,0
0,0,ConeBurst,Task,1.535701,1.293211,0.624612,0.3360917,1.210385,0

