step,OverallGrade,edgeCrossValue,nodeOverlapValue,edgeCrossAngleValue,angularResValue,edgeLengthValue,passedTime
0,0.459043,0.3741606,0.3626251,0.7296007,0.6187524,0.2100763,2.069683
1,0.5918243,0.6793845,0.5474529,0.7826555,0.5932583,0.3563703,4.964943
2,0.5717046,0.6406495,0.5701084,0.7763871,0.5183821,0.3529962,4.375782
3,0.4982818,0.4447241,0.4062607,0.8443111,0.5466762,0.2494371,6.263814
4,0.615434,0.7369465,0.6294057,0.8238901,0.5045432,0.3823845,4.720491
5,0.5119286,0.4677007,0.4532814,0.912001,0.4640642,0.2625954,1.832987
6,0.6519646,0.7983587,0.6941745,0.9486272,0.41793,0.4007326,4.386456
7,0.5225385,0.3920511,0.5056071,0.9523526,0.3818265,0.3808551,7.708405
8,0.5506781,0.5414037,0.4945782,1.027857,0.3858891,0.3036625,2.897648
9,0.5644478,0.524554,0.6081668,0.9236594,0.3598752,0.4059837,2.376465
10,0.5587163,0.561241,0.5581878,1.014825,0.3400551,0.3192727,3.376252
11,0.568095,0.5799487,0.5620685,1.094401,0.2784384,0.3256181,10.05046
12,0.7145161,0.9569954,0.8048462,0.9991792,0.2429129,0.5686468,6.762777
13,0.5793877,0.4791735,0.6179638,1.128713,0.2055988,0.4654896,4.754017
14,0.629589,0.5567345,0.6920513,1.179233,0.2207547,0.4991715,3.066065
15,0.6412456,0.5736051,0.7130226,1.216084,0.1892183,0.514298,2.376129
16,0.7530197,1.044007,0.8916578,1.098519,0.1892036,0.5417111,6.829261
17,0.5936347,0.5082143,0.6554161,1.163986,0.1468562,0.4937011,1.377557
18,0.9754567,1.423989,1.086043,1.291455,0.156752,0.9190446,4.687066
19,0.6410198,0.5904759,0.7431061,1.119323,0.1719013,0.5802926,3.107707

