option,overallGrade,edgeCrossGrade,nodeOverlapGrade,edgeCrossAngleGrade,angularResolutionGrade,edgeLengthGrade,passedTime
chosenOption,0.5270895,0.6682082,0.6459159,0.7530726,0.4624832,0.1057674,11.21539
chosenOption,0.5445298,0.6991684,0.6305517,0.7742857,0.4434666,0.1751768,7.965812
chosenOption,0.5835946,0.7985547,0.6756384,0.7973019,0.4450697,0.2014081,2.37398
chosenOption,0.5730845,0.909951,0.6333541,0.7515829,0.4244799,0.1460545,4.142126
chosenOption,0.5810113,0.9689386,0.6877199,0.7301729,0.3729208,0.1453041,1.132599
chosenOption,0.5846732,1.030492,0.6294382,0.7278,0.4003486,0.1352877,1.587209
chosenOption,0.5341023,0.7397857,0.743178,0.7231418,0.3684977,0.09590829,1.322341
chosenOption,0.5780148,1.067097,0.6919704,0.6921049,0.3749735,0.06392764,0.6996886
chosenOption,0.5196844,0.7632066,0.7020404,0.7049156,0.3353271,0.09293206,1.564083
chosenOption,0.595845,1.099477,0.7097658,0.7161272,0.4108508,0.04300435,1.599165
chosenOption,0.6042697,1.171063,0.6810674,0.6975746,0.3593829,0.1122608,2.157007
chosenOption,0.6148465,1.245147,0.7356609,0.6706686,0.312291,0.110465,1.44503
chosenOption,0.6058324,1.317862,0.6986814,0.6354746,0.3254203,0.05172323,2.145877
chosenOption,0.6274427,1.397399,0.6876515,0.6889258,0.301058,0.0621784,0.4990726
chosenOption,0.4236365,0.6371423,0.5108283,0.5834329,0.3093747,0.07740423,1.493283
chosenOption,0.6229888,1.397566,0.6518596,0.6487341,0.3198544,0.09693033,0.6218137
chosenOption,0.633987,1.479555,0.7009526,0.6184574,0.2762201,0.09475036,1.440297
chosenOption,0.4216883,0.6754445,0.4981551,0.5659828,0.2962575,0.07260153,1.120698
chosenOption,0.6204057,1.484225,0.6680331,0.6029628,0.3005737,0.0462344,1.244208
chosenOption,0.6603781,1.566788,0.6817515,0.63963,0.2929562,0.120765,2.013165

