step,OverallGrade,edgeCrossValue,nodeOverlapValue,edgeCrossAngleValue,angularResValue,edgeLengthValue,passedTime
0,0.5270895,0.6682082,0.6459159,0.7530726,0.4624832,0.1057674,11.21539
1,0.5597473,0.7016187,0.6505847,0.81353,0.4479602,0.1850429,7.965812
2,0.6117385,0.7943541,0.7203192,0.8831199,0.4382111,0.2226883,2.37398
3,0.6134962,0.8978919,0.6927835,0.8759654,0.4313162,0.1695239,4.142126
4,0.6222781,0.9369307,0.758222,0.8614131,0.3882351,0.1665895,1.132599
5,0.6228763,0.9759696,0.6927833,0.8759654,0.4086153,0.1610477,1.587209
6,0.5793783,0.6853958,0.8274554,0.8847594,0.3866312,0.1126497,1.322341
7,0.6245142,1.015007,0.759214,0.8759867,0.3996181,0.07274532,0.6996886
8,0.5659115,0.7117571,0.7750993,0.8718587,0.366447,0.1043952,1.564083
9,0.6371874,1.054047,0.7745058,0.8803736,0.4274242,0.04958649,1.599165
10,0.6470268,1.093085,0.753026,0.8759654,0.3859145,0.1271429,2.157007
11,0.6575621,1.132124,0.8241547,0.8614132,0.3473684,0.1227501,1.44503
12,0.6433243,1.171163,0.7908474,0.8394873,0.3552161,0.05990791,2.145877
13,0.670055,1.2102,0.7908477,0.9375737,0.3410019,0.07065173,0.4990726
14,0.4845843,0.5398661,0.5971701,0.8489637,0.3444614,0.09246039,1.493283
15,0.6548,1.210202,0.7229049,0.8759652,0.3632136,0.1017143,0.6218137
16,0.6783754,1.24924,0.7911884,0.8988659,0.3473683,0.1052144,1.440297
17,0.4849289,0.5567369,0.5732828,0.8489636,0.3674257,0.07823571,1.120698
18,0.648159,1.24924,0.7275801,0.8394873,0.3774172,0.04707049,1.244208
19,0.6953435,1.288279,0.7858022,0.9215862,0.3617592,0.1192907,2.013165

