edge crossing weight,node overlap weight,edge crossing angle weight,angular resolution weight,edge length weight
1.05,1.05,1.05,1,1
1.1,1.1,1.1,0.95,1
1.15,1.15,1.15,0.95,1
1.2,1.15,1.15,0.95,0.95
1.25,1.15,1.15,0.9,0.95
1.3,1.15,1.15,0.9,0.9
1.3,1.2,1.2,0.9,0.85
1.35,1.2,1.15,0.9,0.8
1.35,1.25,1.15,0.85,0.8
1.4,1.25,1.15,0.85,0.7499999
1.45,1.25,1.15,0.85,0.6999999
1.5,1.25,1.15,0.8,0.6999999
1.549999,1.25,1.15,0.8,0.6499999
1.599999,1.25,1.2,0.7499999,0.6499999
1.549999,1.2,1.15,0.8,0.5999999
1.599999,1.2,1.2,0.85,0.5999999
1.649999,1.2,1.2,0.8,0.5499999
1.599999,1.15,1.15,0.85,0.5499999
1.649999,1.2,1.15,0.8,0.4999999
1.699999,1.2,1.2,0.7499999,0.5499999

