step,OverallGrade,edgeCrossValue,nodeOverlapValue,edgeCrossAngleValue,angularResValue,edgeLengthValue,passedTime
0,0.5827472,0.6913109,0.680309,0.7427417,0.4985588,0.3008155,342.3052
1,0.6409078,0.6629657,0.6977773,0.6609908,0.5183445,0.6644608,220.82
2,0.6057602,0.7604418,0.7483396,0.7056046,0.4985588,0.3158562,350.2478
3,0.6585477,0.7950074,0.833904,0.7372555,0.5578391,0.3687325,222.1963
4,0.5466756,0.5697274,0.6818433,0.7164075,0.4941962,0.2712038,222.9851
5,0.5275034,0.4613519,0.6567591,0.7578329,0.5500735,0.2114997,224.8542
6,0.6401037,0.7950078,0.8163707,0.7798787,0.5234867,0.2857746,361.9758
7,0.5339656,0.5141485,0.6798237,0.7303263,0.5114492,0.2340806,364.6185
8,0.6534946,0.829573,0.6670136,0.8084061,0.4951699,0.4673104,229.1641
9,0.6924305,0.8641385,0.938226,0.8506095,0.4943312,0.3148474,324.1616
10,0.7206587,0.983388,0.7805745,0.9029775,0.498962,0.4373917,232.9649
11,0.6677672,0.852384,0.6502681,0.837853,0.5253449,0.4729857,371.7752
12,0.5809971,0.5190206,0.5516225,0.8305237,0.5251542,0.4786646,374.4055
13,0.6929367,0.8987045,0.8503866,0.8912901,0.5234867,0.3008155,377.5277
14,0.6390051,0.8523843,0.6417572,0.8824835,0.4937995,0.324601,238.5074
15,0.7294552,0.9332695,0.9382258,0.9666017,0.4943313,0.3148474,381.6013
16,0.7439512,0.883954,1.021436,0.9404836,0.5255072,0.3483751,384.5736
17,0.6951914,0.9678358,0.8155253,0.9613795,0.4978676,0.233349,242.1105
18,0.6819668,0.7594208,0.8505775,1.00398,0.4759771,0.3198789,246.2789
19,0.7104641,0.6884207,0.9358498,1.074385,0.4976252,0.35604,248.6092

