step,OverallGrade,edgeCrossValue,nodeOverlapValue,edgeCrossAngleValue,angularResValue,edgeLengthValue,passedTime
0,0.5910834,0.5237385,0.4969274,0.7443714,0.5519512,0.6384286,218.3348
1,0.5411983,0.6045581,0.6420097,0.7166499,0.4685336,0.2742401,348.7073
2,0.5824566,0.52225,0.5287619,0.6318769,0.5000029,0.7293911,221.4517
3,0.5064235,0.4421287,0.5866253,0.7177244,0.4911149,0.294524,350.7456
4,0.6231606,0.829573,0.7337257,0.6270585,0.508255,0.4171908,352.6461
5,0.6467074,0.8295733,0.7881261,0.8292949,0.4999011,0.2866417,354.7721
6,0.5180031,0.442129,0.6121309,0.7536108,0.5156707,0.2664741,226.2276
7,0.6399575,0.7576746,0.7642973,0.8115948,0.5283015,0.3379194,227.2166
8,0.6816629,0.7576745,0.938226,0.8254506,0.556407,0.3305564,364.6185
9,0.6361749,0.7892445,0.6252577,0.7680319,0.4990776,0.4992627,230.9082
10,0.5668623,0.4997979,0.5516222,0.8305237,0.4988964,0.4534716,368.5587
11,0.5828766,0.4623897,0.6290943,0.86085,0.5167301,0.445319,234.2169
12,0.6197848,0.5784171,0.8588485,0.7943345,0.5083653,0.3589588,235.1603
13,0.6942872,0.7485006,0.6712688,0.8725928,0.5755524,0.6035214,236.7486
14,0.59885,0.4623898,0.7114891,0.8483502,0.5460206,0.4259999,378.9285
15,0.5705408,0.4082226,0.6089435,0.8708605,0.5170816,0.4475956,240.4666
16,0.5954819,0.4795154,0.6290941,0.9325873,0.4908935,0.445319,240.4666
17,0.6438406,0.59984,0.8918804,0.8979432,0.5083655,0.3211736,386.0606
18,0.6014501,0.5574667,0.5728386,0.9749627,0.4988964,0.403086,388.8805
19,0.5563487,0.5574667,0.4753307,0.8738852,0.455911,0.41915,392.0525

